opportunity_id,channel_name,campaign_name,region_name,company_size,plan,sites,status,created_month,close_month,expected_value,won_value,open_pipeline_value,lost_value,sales_cycle_days,value_imputed
25,Organic Search,SEO Guides,Antwerp,1-9,Starter,1,Lost,2025-11,2025-12,536.51,0.0,0.0,536.51,35.0,0
26,Direct,Brand Direct,Brussels,1-9,Starter,1,Lost,2025-11,2025-11,607.51,0.0,0.0,607.51,7.0,0
27,Email,Newsletter,Liège,1-9,Starter,1,Lost,2025-11,2025-12,609.63,0.0,0.0,609.63,22.0,0
28,Referral,Partner Network,Flemish Brabant,10-49,Group,5,Won,2025-11,2025-12,18491.59,18782.58,0.0,0.0,15.0,0
29,Referral,Partner Network,Hainaut,1-9,Pro,1,Lost,2025-11,2025-12,1458.62,0.0,0.0,1458.62,12.0,0
30,Organic Search,SEO Product Pages,Antwerp,10-49,Starter,1,Lost,2025-11,2025-11,635.19,0.0,0.0,635.19,11.0,0
31,Organic Search,SEO Guides,East Flanders,1-9,Starter,1,Won,2025-11,2025-12,570.56,556.97,0.0,0.0,11.0,0
32,Direct,Brand Direct,Brussels,10-49,Pro,1,Won,2025-11,2025-12,1351.39,1278.42,0.0,0.0,31.0,0
33,Referral,Partner Network,East Flanders,1-9,Pro,1,Lost,2025-11,2025-12,1518.49,0.0,0.0,1518.49,22.0,0
34,Referral,Customer Referral,Antwerp,1-9,Starter,1,Won,2025-11,2025-12,622.11,558.12,0.0,0.0,18.0,0
35,Google Ads,Competitor Search,Hainaut,10-49,Pro,1,Lost,2025-11,2025-12,1381.71,0.0,0.0,1381.71,26.0,0
36,LinkedIn Ads,Decision Makers,Brussels,50+,Pro,1,Won,2025-11,2026-02,1490.54,1341.7,0.0,0.0,86.0,0
37,Organic Search,SEO Product Pages,Walloon Brabant,1-9,Starter,1,Lost,2025-11,2025-12,560.25,0.0,0.0,560.25,32.0,0
38,Direct,Brand Direct,East Flanders,10-49,Pro,1,Lost,2025-11,2026-01,1309.88,0.0,0.0,1309.88,43.0,0
39,Direct,Returning Visitors,Namur,10-49,Starter,1,Lost,2025-11,2025-12,636.72,0.0,0.0,636.72,23.0,0
40,Email,Newsletter,Liège,10-49,Pro,1,Won,2025-11,2025-12,1376.57,1399.35,0.0,0.0,15.0,0
41,Referral,Partner Network,Flemish Brabant,1-9,Starter,1,Lost,2025-11,2025-11,625.78,0.0,0.0,625.78,4.0,0
42,LinkedIn Ads,Decision Makers,Brussels,10-49,Starter,1,Lost,2025-11,2025-12,564.58,0.0,0.0,564.58,12.0,0
43,Organic Search,SEO Product Pages,Antwerp,10-49,Starter,1,Won,2025-11,2025-12,534.1,516.71,0.0,0.0,11.0,0
44,Organic Search,SEO Guides,Antwerp,1-9,Starter,1,Lost,2025-11,2025-11,631.16,0.0,0.0,631.16,8.0,0
45,Email,Newsletter,Flemish Brabant,1-9,Starter,1,Won,2025-11,2025-12,645.15,569.77,0.0,0.0,15.0,0
46,LinkedIn Ads,Decision Makers,Flemish Brabant,1-9,Pro,1,Won,2025-11,2025-12,1353.46,1160.83,0.0,0.0,12.0,0
47,Organic Search,SEO Product Pages,Liège,10-49,Pro,1,Lost,2025-11,2025-12,1376.55,0.0,0.0,1376.55,21.0,0
48,Organic Search,SEO Guides,Brussels,1-9,Pro,1,Lost,2025-11,2025-12,1530.97,0.0,0.0,1530.97,10.0,0
49,Direct,Returning Visitors,Brussels,1-9,Starter,1,Won,2025-11,2025-12,554.09,558.27,0.0,0.0,22.0,0
50,Email,Newsletter,Liège,1-9,Starter,1,Lost,2025-11,2025-12,581.17,0.0,0.0,581.17,26.0,0
51,Referral,Partner Network,Antwerp,10-49,Pro,1,Lost,2025-11,2025-12,1570.14,0.0,0.0,1570.14,16.0,0
52,LinkedIn Ads,Decision Makers,Antwerp,10-49,Pro,1,Won,2025-11,2025-12,1503.3,1470.92,0.0,0.0,35.0,0
53,Direct,Returning Visitors,East Flanders,1-9,Pro,1,Won,2025-11,2025-11,1554.31,1442.2,0.0,0.0,8.0,0
54,Direct,Returning Visitors,Walloon Brabant,10-49,Starter,1,Won,2025-11,2025-12,624.53,574.56,0.0,0.0,24.0,0
55,Organic Search,SEO Guides,Hainaut,50+,Group,3,Lost,2025-11,2026-01,10390.2,0.0,0.0,10390.2,52.0,0
56,Direct,Brand Direct,Namur,1-9,Starter,1,Lost,2025-11,2025-12,550.25,0.0,0.0,550.25,13.0,0
57,Direct,Returning Visitors,Hainaut,1-9,Pro,1,Lost,2025-11,2025-11,1525.4,0.0,0.0,1525.4,5.0,0
58,Referral,Customer Referral,Hainaut,1-9,Starter,1,Lost,2025-11,2025-12,635.09,0.0,0.0,635.09,18.0,0
59,Google Ads,Restaurant Operations,Antwerp,1-9,Pro,1,Lost,2025-11,2025-12,1514.11,0.0,0.0,1514.11,23.0,0
60,Organic Search,SEO Product Pages,Flemish Brabant,10-49,Group,4,Won,2025-11,2025-12,13915.69,11859.53,0.0,0.0,26.0,0
61,Organic Search,SEO Product Pages,Flemish Brabant,50+,Pro,1,Lost,2025-11,2026-03,1378.01,0.0,0.0,1378.01,127.0,0
62,Direct,Returning Visitors,Brussels,1-9,Starter,1,Lost,2025-11,2025-12,627.97,0.0,0.0,627.97,25.0,0
63,Email,Newsletter,Brussels,1-9,Starter,1,Won,2025-11,2025-12,620.5,536.0,0.0,0.0,21.0,0
64,Referral,Partner Network,Walloon Brabant,10-49,Pro,1,Lost,2025-11,2026-01,1446.87,0.0,0.0,1446.87,48.0,0
65,Organic Search,SEO Product Pages,Brussels,10-49,Pro,1,Lost,2025-11,2025-12,1551.61,0.0,0.0,1551.61,7.0,0
66,Organic Search,SEO Product Pages,Hainaut,1-9,Starter,1,Lost,2025-11,2025-12,544.3,0.0,0.0,544.3,5.0,0
67,Direct,Returning Visitors,Brussels,1-9,Starter,1,Won,2025-11,2026-01,561.95,480.24,0.0,0.0,38.0,0
68,Referral,Partner Network,Namur,10-49,Pro,1,Lost,2025-11,2025-12,1537.6,0.0,0.0,1537.6,15.0,0
69,Referral,Customer Referral,Flemish Brabant,1-9,Starter,1,Lost,2025-11,2025-12,550.09,0.0,0.0,550.09,15.0,0
70,Google Ads,High Intent Search,Brussels,1-9,Pro,1,Lost,2025-11,2025-12,1471.92,0.0,0.0,1471.92,15.0,0
71,Google Ads,Competitor Search,Antwerp,10-49,Pro,1,Lost,2025-11,2025-12,1426.03,0.0,0.0,1426.03,10.0,0
72,Organic Search,SEO Product Pages,Hainaut,1-9,Starter,1,Lost,2025-11,2025-12,633.62,0.0,0.0,633.62,9.0,0
73,Direct,Brand Direct,East Flanders,10-49,Pro,1,Lost,2025-11,2026-01,1427.51,0.0,0.0,1427.51,36.0,0
74,Referral,Customer Referral,Liège,1-9,Starter,1,Lost,2025-11,2025-12,550.35,0.0,0.0,550.35,12.0,0
75,LinkedIn Ads,Decision Makers,Walloon Brabant,1-9,Starter,1,Lost,2025-12,2025-12,544.96,0.0,0.0,544.96,10.0,0
76,Google Ads,Competitor Search,Liège,10-49,Pro,1,Won,2025-12,2025-12,1315.59,1149.78,0.0,0.0,8.0,0
77,Direct,Brand Direct,Antwerp,1-9,Starter,1,Lost,2025-11,2025-12,586.69,0.0,0.0,586.69,26.0,0
78,Direct,Returning Visitors,Liège,1-9,Starter,1,Lost,2025-11,2025-12,530.51,0.0,0.0,530.51,18.0,0
79,Direct,Brand Direct,Namur,10-49,Starter,1,Won,2025-11,2025-12,566.94,502.59,0.0,0.0,14.0,0
80,Direct,Brand Direct,Hainaut,50+,Group,3,Lost,2025-11,2026-03,10504.32,0.0,0.0,10504.32,109.0,0
81,Direct,Brand Direct,Hainaut,10-49,Pro,1,Lost,2025-12,2026-01,1383.62,0.0,0.0,1383.62,34.0,0
82,Email,Newsletter,Flemish Brabant,1-9,Starter,1,Lost,2025-12,2025-12,566.11,0.0,0.0,566.11,6.0,0
83,Email,Newsletter,Flemish Brabant,1-9,Pro,1,Lost,2025-11,2025-12,1332.18,0.0,0.0,1332.18,20.0,0
84,Referral,Partner Network,Antwerp,50+,Group,3,Lost,2025-11,2025-12,10658.67,0.0,0.0,10658.67,28.0,0
85,Organic Search,SEO Guides,East Flanders,1-9,Starter,1,Lost,2025-11,2025-12,641.78,0.0,0.0,641.78,15.0,0
86,Direct,Brand Direct,Liège,1-9,Starter,1,Lost,2025-11,2025-12,583.28,0.0,0.0,583.28,22.0,0
87,Direct,Brand Direct,Antwerp,50+,Group,3,Lost,2025-11,2025-12,10061.16,0.0,0.0,10061.16,14.0,0
88,Direct,Brand Direct,East Flanders,1-9,Starter,1,Lost,2025-12,2025-12,628.28,0.0,0.0,628.28,27.0,0
89,Referral,Customer Referral,Liège,1-9,Pro,1,Won,2025-11,2025-12,1447.9,1296.9,0.0,0.0,15.0,0
90,Organic Search,SEO Product Pages,East Flanders,1-9,Pro,1,Lost,2025-11,2025-12,1356.38,0.0,0.0,1356.38,31.0,0
91,Direct,Brand Direct,Brussels,50+,Group,4,Lost,2025-11,2026-01,14758.02,0.0,0.0,14758.02,42.0,0
92,Email,Newsletter,Flemish Brabant,1-9,Starter,1,Won,2025-11,2025-12,572.61,554.05,0.0,0.0,14.0,0
93,Google Ads,Competitor Search,Walloon Brabant,1-9,Starter,1,Lost,2025-12,2025-12,561.4,0.0,0.0,561.4,9.0,0
94,Google Ads,Restaurant Operations,Walloon Brabant,1-9,Starter,1,Lost,2025-12,2025-12,602.84,0.0,0.0,602.84,11.0,0
95,LinkedIn Ads,Decision Makers,Liège,10-49,Pro,1,Lost,2025-11,2025-12,1360.42,0.0,0.0,1360.42,9.0,0
96,Organic Search,SEO Product Pages,Antwerp,50+,Group,5,Won,2025-12,2025-12,19045.15,16940.62,0.0,0.0,16.0,0
97,Direct,Brand Direct,Antwerp,1-9,Starter,1,Lost,2025-11,2025-12,584.64,0.0,0.0,584.64,15.0,0
98,Referral,Partner Network,Brussels,1-9,Starter,1,Lost,2025-12,2025-12,591.97,0.0,0.0,591.97,22.0,0
99,Referral,Partner Network,Walloon Brabant,1-9,Starter,1,Won,2025-12,2025-12,554.26,505.97,0.0,0.0,6.0,0
100,Referral,Customer Referral,Flemish Brabant,10-49,Pro,1,Won,2025-12,2026-01,1381.28,1245.19,0.0,0.0,41.0,0
101,Email,Newsletter,Brussels,10-49,Pro,1,Lost,2025-12,2025-12,1553.58,0.0,0.0,1553.58,27.0,0
102,Referral,Customer Referral,Brussels,10-49,Pro,1,Lost,2025-12,2025-12,1314.51,0.0,0.0,1314.51,27.0,0
103,Organic Search,SEO Guides,Brussels,1-9,Starter,1,Lost,2025-12,2025-12,549.79,0.0,0.0,549.79,16.0,0
104,Direct,Brand Direct,Brussels,10-49,Starter,1,Lost,2025-12,2025-12,543.09,0.0,0.0,543.09,16.0,0
105,Referral,Partner Network,Hainaut,10-49,Pro,1,Lost,2025-12,2025-12,1430.42,0.0,0.0,1430.42,21.0,0
106,Organic Search,SEO Guides,East Flanders,1-9,Starter,1,Lost,2025-12,2026-01,622.16,0.0,0.0,622.16,38.0,0
107,Email,Newsletter,Flemish Brabant,50+,Group,4,Lost,2025-12,2026-02,13665.56,0.0,0.0,13665.56,61.0,0
108,Email,Newsletter,Antwerp,50+,Group,3,Lost,2025-12,2025-12,10596.69,0.0,0.0,10596.69,21.0,0
109,Referral,Partner Network,East Flanders,10-49,Pro,1,Lost,2025-12,2025-12,1480.85,0.0,0.0,1480.85,18.0,0
110,Referral,Partner Network,East Flanders,1-9,Starter,1,Lost,2025-12,2025-12,590.34,0.0,0.0,590.34,8.0,0
111,Direct,Returning Visitors,Flemish Brabant,1-9,Starter,1,Lost,2025-12,2025-12,604.59,0.0,0.0,604.59,11.0,0
112,Email,Newsletter,Antwerp,50+,Group,3,Lost,2025-12,2026-02,11218.44,0.0,0.0,11218.44,56.0,0
113,Email,Lead Nurture,Walloon Brabant,10-49,Pro,1,Lost,2025-12,2026-01,1467.79,0.0,0.0,1467.79,28.0,0
114,Email,Lead Nurture,Liège,1-9,Starter,1,Lost,2025-12,2025-12,578.59,0.0,0.0,578.59,5.0,0
115,Email,Lead Nurture,East Flanders,10-49,Pro,1,Won,2025-12,2025-12,1340.86,1208.75,0.0,0.0,17.0,0
116,LinkedIn Ads,Decision Makers,Antwerp,10-49,Pro,1,Lost,2025-12,2026-01,1348.75,0.0,0.0,1348.75,46.0,0
117,Email,Newsletter,Hainaut,1-9,Starter,1,Lost,2025-12,2025-12,561.42,0.0,0.0,561.42,14.0,0
118,Referral,Partner Network,Flemish Brabant,10-49,Starter,1,Won,2025-12,2026-01,605.2,550.27,0.0,0.0,35.0,0
119,Google Ads,Restaurant Operations,Walloon Brabant,10-49,Starter,1,Lost,2025-12,2025-12,634.69,0.0,0.0,634.69,16.0,0
120,Direct,Brand Direct,East Flanders,1-9,Starter,1,Lost,2025-12,2025-12,549.55,0.0,0.0,549.55,11.0,0
121,Direct,Brand Direct,Antwerp,10-49,Pro,1,Lost,2025-12,2025-12,1420.37,0.0,0.0,1420.37,19.0,0
122,Referral,Partner Network,Liège,1-9,Starter,1,Won,2025-12,2026-01,595.93,550.33,0.0,0.0,24.0,0
123,LinkedIn Ads,Decision Makers,Antwerp,1-9,Pro,1,Lost,2025-12,2025-12,1422.73,0.0,0.0,1422.73,16.0,0
124,Organic Search,SEO Product Pages,Walloon Brabant,10-49,Starter,1,Lost,2025-12,2025-12,542.21,0.0,0.0,542.21,12.0,0
125,Google Ads,Restaurant Operations,Antwerp,1-9,Starter,1,Lost,2025-12,2025-12,643.46,0.0,0.0,643.46,6.0,0
126,Organic Search,SEO Product Pages,Brussels,50+,Group,5,Lost,2025-12,2026-01,17751.55,0.0,0.0,17751.55,41.0,0
127,Organic Search,SEO Product Pages,Brussels,10-49,Pro,1,Lost,2025-12,2026-01,1410.75,0.0,0.0,1410.75,26.0,0
128,Organic Search,SEO Product Pages,Namur,10-49,Group,5,Lost,2025-12,2026-01,16234.92,0.0,0.0,16234.92,42.0,0
129,Organic Search,SEO Guides,Flemish Brabant,50+,Group,2,Lost,2025-12,2025-12,7644.47,0.0,0.0,7644.47,18.0,0
130,Direct,Brand Direct,Namur,10-49,Starter,1,Lost,2025-12,2026-01,559.89,0.0,0.0,559.89,16.0,0
131,Direct,Brand Direct,Namur,10-49,Group,3,Won,2025-12,2026-01,10478.97,10081.33,0.0,0.0,22.0,0
132,Referral,Partner Network,Antwerp,1-9,Starter,1,Won,2025-12,2026-01,605.47,542.83,0.0,0.0,24.0,0
133,Referral,Partner Network,Walloon Brabant,1-9,Starter,1,Won,2025-12,2026-01,533.55,453.53,0.0,0.0,26.0,0
134,Referral,Customer Referral,Antwerp,10-49,Pro,1,Won,2025-12,2026-01,1334.46,1218.92,0.0,0.0,33.0,0
135,Google Ads,High Intent Search,Brussels,10-49,Pro,1,Lost,2025-12,2026-01,1292.91,0.0,0.0,1292.91,19.0,0
136,Google Ads,High Intent Search,Hainaut,1-9,Starter,1,Won,2025-12,2025-12,552.31,485.83,0.0,0.0,7.0,0
137,Email,Lead Nurture,Flemish Brabant,1-9,Starter,1,Won,2025-12,2026-01,629.7,635.48,0.0,0.0,26.0,0
138,Referral,Partner Network,Brussels,1-9,Starter,1,Lost,2025-12,2025-12,610.27,0.0,0.0,610.27,6.0,0
139,Referral,Partner Network,Antwerp,50+,Group,4,Lost,2025-12,2026-01,12992.76,0.0,0.0,12992.76,38.0,0
140,Referral,Partner Network,Antwerp,10-49,Pro,1,Lost,2025-12,2025-12,1359.76,0.0,0.0,1359.76,21.0,0
141,Google Ads,High Intent Search,Antwerp,1-9,Starter,1,Lost,2025-12,2026-01,621.97,0.0,0.0,621.97,18.0,0
142,Meta Ads,Lead Magnet,Antwerp,1-9,Starter,1,Lost,2025-12,2025-12,589.65,0.0,0.0,589.65,14.0,0
143,Direct,Brand Direct,Antwerp,10-49,Pro,1,Won,2025-12,2026-01,1402.22,1254.66,0.0,0.0,23.0,0
144,Direct,Returning Visitors,East Flanders,50+,Group,2,Lost,2025-12,2025-12,6553.24,0.0,0.0,6553.24,15.0,0
145,Referral,Partner Network,Walloon Brabant,1-9,Pro,1,Won,2025-12,2026-01,1436.58,1309.56,0.0,0.0,41.0,0
146,Referral,Partner Network,Brussels,1-9,Pro,1,Lost,2025-12,2025-12,1430.87,0.0,0.0,1430.87,15.0,0
147,Referral,Customer Referral,Walloon Brabant,10-49,Group,3,Lost,2025-12,2026-01,9803.14,0.0,0.0,9803.14,28.0,0
148,Referral,Customer Referral,East Flanders,1-9,Pro,1,Lost,2025-12,2025-12,1564.27,0.0,0.0,1564.27,4.0,0
149,Google Ads,High Intent Search,Walloon Brabant,50+,Group,5,Lost,2025-12,2026-03,18118.44,0.0,0.0,18118.44,84.0,0
150,Referral,Customer Referral,Brussels,10-49,Group,3,Lost,2025-12,2026-01,11004.41,0.0,0.0,11004.41,26.0,0
151,Referral,Customer Referral,East Flanders,10-49,Pro,1,Lost,2025-12,2026-01,1570.02,0.0,0.0,1570.02,25.0,0
152,Referral,Customer Referral,Antwerp,1-9,Starter,1,Lost,2025-12,2026-01,558.5,0.0,0.0,558.5,15.0,0
153,Referral,Partner Network,East Flanders,10-49,Pro,1,Lost,2025-12,2026-01,1354.21,0.0,0.0,1354.21,27.0,0
154,Referral,Customer Referral,East Flanders,1-9,Starter,1,Won,2025-12,2025-12,537.12,490.67,0.0,0.0,14.0,0
155,Referral,Customer Referral,Namur,1-9,Starter,1,Won,2025-12,2025-12,610.25,612.22,0.0,0.0,10.0,0
156,Meta Ads,Lead Magnet,Liège,50+,Group,5,Lost,2025-12,2026-01,17814.65,0.0,0.0,17814.65,20.0,0
157,Organic Search,SEO Product Pages,East Flanders,1-9,Starter,1,Lost,2025-12,2025-12,563.35,0.0,0.0,563.35,14.0,0
158,Direct,Brand Direct,Antwerp,50+,Pro,1,Lost,2025-12,2026-01,1531.77,0.0,0.0,1531.77,41.0,0
159,Referral,Partner Network,Hainaut,1-9,Starter,1,Won,2025-12,2025-12,632.6,644.09,0.0,0.0,13.0,0
160,Google Ads,High Intent Search,Liège,10-49,Pro,1,Lost,2025-12,2026-01,1515.23,0.0,0.0,1515.23,10.0,0
161,Direct,Brand Direct,Walloon Brabant,1-9,Starter,1,Lost,2025-12,2026-01,581.33,0.0,0.0,581.33,19.0,0
162,Email,Lead Nurture,Namur,1-9,Starter,1,Lost,2025-12,2025-12,595.31,0.0,0.0,595.31,10.0,0
163,Referral,Partner Network,Brussels,10-49,Pro,1,Lost,2025-12,2026-01,1543.18,0.0,0.0,1543.18,33.0,0
164,Referral,Customer Referral,Liège,50+,Group,2,Won,2025-12,2026-03,6821.05,6115.85,0.0,0.0,81.0,0
165,Referral,Customer Referral,Antwerp,1-9,Starter,1,Won,2025-12,2026-01,532.65,488.14,0.0,0.0,31.0,0
166,Organic Search,SEO Product Pages,Walloon Brabant,10-49,Pro,1,Won,2025-12,2026-01,1399.36,1324.16,0.0,0.0,26.0,0
167,Direct,Returning Visitors,Brussels,1-9,Starter,1,Lost,2025-12,2026-01,574.54,0.0,0.0,574.54,20.0,0
168,Email,Newsletter,Brussels,1-9,Starter,1,Won,2025-12,2026-01,549.39,536.79,0.0,0.0,18.0,0
169,Organic Search,SEO Product Pages,Flemish Brabant,50+,Group,2,Lost,2025-12,2026-01,6829.95,0.0,0.0,6829.95,28.0,0
170,Organic Search,SEO Product Pages,Hainaut,10-49,Starter,1,Won,2025-12,2026-01,533.78,462.4,0.0,0.0,16.0,0
171,Direct,Returning Visitors,Namur,10-49,Pro,1,Won,2025-12,2026-01,1301.84,1307.4,0.0,0.0,24.0,0
172,Email,Newsletter,Walloon Brabant,10-49,Pro,1,Lost,2025-12,2026-01,1336.4,0.0,0.0,1336.4,17.0,0
173,Google Ads,Restaurant Operations,Namur,1-9,Starter,1,Lost,2025-12,2026-01,548.52,0.0,0.0,548.52,20.0,0
174,Organic Search,SEO Product Pages,Brussels,10-49,Pro,1,Lost,2025-12,2025-12,1378.24,0.0,0.0,1378.24,8.0,0
175,Direct,Brand Direct,East Flanders,1-9,Starter,1,Lost,2025-12,2026-01,562.37,0.0,0.0,562.37,17.0,0
176,Direct,Returning Visitors,Walloon Brabant,1-9,Starter,1,Lost,2025-12,2026-01,594.07,0.0,0.0,594.07,14.0,0
177,Referral,Partner Network,Antwerp,1-9,Starter,1,Won,2025-12,2026-01,566.1,521.81,0.0,0.0,18.0,0
178,Referral,Partner Network,Liège,1-9,Pro,1,Lost,2025-12,2025-12,1480.31,0.0,0.0,1480.31,10.0,0
179,Referral,Partner Network,Namur,10-49,Pro,1,Won,2025-12,2026-01,1444.44,1337.64,0.0,0.0,19.0,0
180,Referral,Customer Referral,Namur,10-49,Group,5,Lost,2025-12,2026-02,18365.11,0.0,0.0,18365.11,53.0,0
181,Referral,Customer Referral,Antwerp,1-9,Starter,1,Lost,2025-12,2026-01,608.57,0.0,0.0,608.57,16.0,0
182,LinkedIn Ads,Operations Leaders,Hainaut,50+,Group,5,Lost,2025-12,2026-01,17223.17,0.0,0.0,17223.17,27.0,0
183,Direct,Returning Visitors,Brussels,1-9,Pro,1,Won,2025-12,2026-01,1349.33,1318.49,0.0,0.0,17.0,0
184,Email,Newsletter,Antwerp,1-9,Starter,1,Lost,2025-12,2026-01,640.86,0.0,0.0,640.86,28.0,0
185,Referral,Partner Network,Flemish Brabant,10-49,Pro,1,Won,2025-12,2026-01,1454.8,1289.38,0.0,0.0,21.0,0
186,Organic Search,SEO Guides,Hainaut,10-49,Group,3,Lost,2025-12,2026-01,9580.12,0.0,0.0,9580.12,19.0,0
187,Organic Search,SEO Guides,Walloon Brabant,1-9,Pro,1,Lost,2025-12,2026-01,1357.01,0.0,0.0,1357.01,14.0,0
188,Email,Newsletter,Flemish Brabant,10-49,Starter,1,Won,2025-12,2026-01,539.53,515.06,0.0,0.0,22.0,0
189,Referral,Partner Network,Hainaut,10-49,Pro,1,Won,2025-12,2026-01,1367.68,1188.96,0.0,0.0,11.0,0
190,Referral,Partner Network,Hainaut,10-49,Starter,1,Won,2025-12,2026-02,539.76,461.32,0.0,0.0,51.0,0
191,Direct,Brand Direct,Brussels,1-9,Starter,1,Won,2025-12,2026-01,544.24,536.75,0.0,0.0,11.0,0
192,Email,Lead Nurture,Walloon Brabant,1-9,Starter,1,Lost,2025-12,2026-01,590.85,0.0,0.0,590.85,16.0,0
193,Referral,Customer Referral,Brussels,10-49,Pro,1,Won,2025-12,2026-01,1332.21,1247.4,0.0,0.0,13.0,0
194,Direct,Brand Direct,East Flanders,1-9,Starter,1,Lost,2025-12,2026-01,617.19,0.0,0.0,617.19,17.0,0
195,Referral,Partner Network,Namur,10-49,Pro,1,Lost,2025-12,2026-01,1301.45,0.0,0.0,1301.45,16.0,0
196,Direct,Returning Visitors,Hainaut,1-9,Starter,1,Lost,2025-12,2026-01,581.44,0.0,0.0,581.44,10.0,0
197,Referral,Customer Referral,Liège,1-9,Starter,1,Lost,2025-12,2026-01,599.51,0.0,0.0,599.51,14.0,0
198,Google Ads,High Intent Search,Flemish Brabant,50+,Group,3,Won,2025-12,2026-02,11204.68,9922.22,0.0,0.0,62.0,0
199,Organic Search,SEO Product Pages,Brussels,1-9,Pro,1,Lost,2025-12,2026-01,1364.24,0.0,0.0,1364.24,19.0,0
200,Organic Search,SEO Guides,Brussels,1-9,Starter,1,Won,2025-12,2026-01,585.33,587.9,0.0,0.0,13.0,0
201,Referral,Customer Referral,Namur,50+,Group,5,Won,2025-12,2026-01,18309.66,18440.32,0.0,0.0,27.0,0
202,Email,Newsletter,Brussels,50+,Group,2,Lost,2025-12,2026-02,7129.84,0.0,0.0,7129.84,54.0,0
203,Email,Lead Nurture,Flemish Brabant,1-9,Starter,1,Won,2025-12,2026-01,544.49,545.12,0.0,0.0,6.0,0
204,Email,Lead Nurture,Hainaut,50+,Group,2,Lost,2025-12,2026-01,7333.96,0.0,0.0,7333.96,21.0,0
205,Email,Lead Nurture,Liège,50+,Group,4,Won,2026-01,2026-04,12798.55,11408.7,0.0,0.0,94.0,0
206,Referral,Customer Referral,Antwerp,1-9,Starter,1,Won,2025-12,2026-01,603.28,591.7,0.0,0.0,18.0,0
207,Organic Search,SEO Product Pages,Antwerp,50+,Pro,1,Lost,2026-01,2026-03,1503.72,0.0,0.0,1503.72,75.0,0
