opportunity_id,lead_id,created_at,closed_at,stage,plan,sites,expected_value,won_value
30,175,2025-11-18,2025-11-29,Lost,Starter,1,635.19,0.0
31,179,2025-11-21,2025-12-02,Won,Starter,1,570.56,556.97
32,182,2025-11-17,2025-12-18,Won,Pro,1,1351.39,1278.42
33,186,2025-11-22,2025-12-14,Lost,Pro,1,1518.49,0.0
34,188,2025-11-14,2025-12-02,Won,Starter,1,622.11,558.12
35,190,2025-11-20,2025-12-16,Lost,Pro,1,1381.71,0.0
36,192,2025-11-15,2026-02-09,Won,Pro,1,1490.54,1341.7
37,197,2025-11-16,2025-12-18,Lost,Starter,1,560.25,0.0
38,200,2025-11-23,2026-01-05,Lost,Pro,1,1309.88,0.0
39,201,2025-11-21,2025-12-14,Lost,Starter,1,636.72,0.0
40,202,2025-11-23,2025-12-08,Won,Pro,1,1376.57,1399.35
41,205,2025-11-20,2025-11-24,Lost,Starter,1,625.78,0.0
42,207,2025-11-19,2025-12-01,Lost,Starter,1,564.58,0.0
43,218,2025-11-20,2025-12-01,Won,Starter,1,534.1,516.71
44,224,2025-11-20,2025-11-28,Lost,Starter,1,631.16,0.0
45,230,2025-11-16,2025-12-01,Won,Starter,1,645.15,569.77
46,235,2025-11-19,2025-12-01,Won,Pro,1,1353.46,1160.83
47,242,2025-11-21,2025-12-12,Lost,Pro,1,1376.55,0.0
48,245,2025-11-21,2025-12-01,Lost,Pro,1,1530.97,0.0
49,248,2025-11-23,2025-12-15,Won,Starter,1,554.09,558.27
50,249,2025-11-24,2025-12-20,Lost,Starter,1,581.17,0.0
51,250,2025-11-24,2025-12-10,Lost,Pro,1,1570.14,0.0
52,253,2025-11-25,2025-12-30,Won,Pro,1,1503.3,1470.92
53,260,2025-11-18,2025-11-26,Won,Pro,1,1554.31,1442.2
54,261,2025-11-25,2025-12-19,Won,Starter,1,624.53,574.56
55,272,2025-11-25,2026-01-16,Lost,Group,3,10390.2,0.0
56,276,2025-11-21,2025-12-04,Lost,Starter,1,550.25,0.0
57,278,2025-11-22,2025-11-27,Lost,Pro,1,1525.4,0.0
58,284,2025-11-22,2025-12-10,LOST,Starter,1,635.09,0.0
59,290,2025-11-23,2025-12-16,Lost,Pro,1,1514.11,0.0
60,294,2025-11-28,2025-12-24,Won,Group,4,13915.69,11859.53
61,299,2025-11-20,2026-03-27,Lost,Pro,1,1378.01,0.0
62,304,2025-11-24,2025-12-19,Lost,Starter,1,627.97,0.0
63,305,2025-11-27,2025-12-18,Won,Starter,1,620.5,536.0
64,306,2025-11-22,2026-01-09,Lost,Pro,1,1446.87,0.0
65,316,2025-11-24,2025-12-01,Lost,Pro,1,1551.61,0.0
66,318,2025-11-29,2025-12-04,Lost,Starter,1,544.3,0.0
67,325,2025-11-26,2026-01-03,Won,Starter,1,561.95,480.24
68,328,2025-11-25,2025-12-10,Lost,Pro,1,1537.6,0.0
69,329,2025-11-25,2025-12-10,Lost,Starter,1,550.09,0.0
70,330,2025-11-23,2025-12-08,Lost,Pro,1,1471.92,0.0
71,331,2025-11-26,2025-12-06,LOST,Pro,1,1426.03,0.0
72,340,2025-11-27,2025-12-06,Lost,Starter,1,633.62,0.0
73,345,2025-11-27,2026-01-02,Lost,Pro,1,1427.51,0.0
74,349,2025-11-24,2025-12-06,Lost,Starter,1,550.35,0.0
75,353,2025-12-01,2025-12-11,Lost,Starter,1,544.96,0.0
76,373,2025-12-02,2025-12-10,Won,Pro,1,1315.59,1149.78
77,384,2025-11-28,2025-12-24,Lost,Starter,1,586.69,0.0
78,385,2025-11-24,2025-12-12,Lost,Starter,1,530.51,0.0
79,399,2025-11-30,2025-12-14,Won,Starter,1,566.94,502.59
80,400,2025-11-28,2026-03-17,Lost,Group,3,10504.32,0.0
81,401,2025-12-03,2026-01-06,Lost,Pro,1,1383.62,0.0
82,403,2025-12-02,2025-12-08,Lost,Starter,1,566.11,0.0
83,404,2025-11-25,2025-12-15,Lost,Pro,1,1332.18,0.0
84,405,2025-11-25,2025-12-23,Lost,Group,3,10658.67,0.0
85,415,2025-11-29,2025-12-14,Lost,Starter,1,641.78,0.0
86,417,2025-11-27,2025-12-19,Lost,Starter,1,583.28,0.0
87,418,2025-11-27,2025-12-11,Lost,Group,3,10061.16,0.0
88,420,2025-12-02,2025-12-29,Lost,Starter,1,628.28,0.0
89,424,2025-11-28,2025-12-13,Won,Pro,1,1447.9,1296.9
90,429,2025-11-27,2025-12-28,Lost,Pro,1,1356.38,0.0
91,433,2025-11-28,2026-01-09,Lost,Group,4,14758.02,0.0
92,453,2025-11-29,2025-12-13,Won,Starter,1,572.61,554.05
93,457,2025-12-06,2025-12-15,Lost,Starter,1,561.4,0.0
94,458,2025-12-05,2025-12-16,Lost,Starter,1,602.84,0.0
95,459,2025-11-29,2025-12-08,Lost,Pro,1,1360.42,0.0
96,466,2025-12-07,2025-12-23,Won,Group,5,19045.15,16940.62
97,469,2025-11-29,2025-12-14,Lost,Starter,1,584.64,0.0
98,470,2025-12-01,2025-12-23,Lost,Starter,1,591.97,0.0
99,486,2025-12-02,2025-12-08,Won,Starter,1,554.26,505.97
100,487,2025-12-01,2026-01-11,Won,Pro,1,1381.28,1245.19
101,496,2025-12-02,2025-12-29,Lost,Pro,1,1553.58,0.0
102,499,2025-12-03,2025-12-30,Lost,Pro,1,1314.51,0.0
103,512,2025-12-03,2025-12-19,Lost,Starter,1,549.79,0.0
104,513,2025-12-05,2025-12-21,Lost,Starter,1,543.09,0.0
105,515,2025-12-10,2025-12-31,Lost,Pro,1,1430.42,0.0
106,527,2025-12-10,2026-01-17,Lost,Starter,1,622.16,0.0
107,534,2025-12-10,2026-02-09,Lost,Group,4,13665.56,0.0
108,535,2025-12-10,2025-12-31,Lost,Group,3,10596.69,0.0
109,538,2025-12-06,2025-12-24,Lost,Pro,1,1480.85,0.0
110,539,2025-12-08,2025-12-16,Lost,Starter,1,590.34,0.0
111,547,2025-12-06,2025-12-17,Lost,Starter,1,604.59,0.0
112,548,2025-12-10,2026-02-04,Lost,Group,3,11218.44,0.0
113,551,2025-12-06,2026-01-03,Lost,Pro,1,1467.79,0.0
114,552,2025-12-06,2025-12-11,Lost,Starter,1,578.59,0.0
115,553,2025-12-11,2025-12-28,Won,Pro,1,1340.86,1208.75
116,558,2025-12-07,2026-01-22,LOST,Pro,1,1348.75,0.0
117,578,2025-12-12,2025-12-26,Lost,Starter,1,561.42,0.0
118,579,2025-12-08,2026-01-12,Won,Starter,1,605.2,550.27
119,583,2025-12-06,2025-12-22,Lost,Starter,1,634.69,0.0
120,598,2025-12-07,2025-12-18,Lost,Starter,1,549.55,0.0
121,599,2025-12-12,2025-12-31,Lost,Pro,1,1420.37,0.0
122,602,2025-12-12,2026-01-05,Won,Starter,1,595.93,550.33
123,605,2025-12-10,2025-12-26,Lost,Pro,1,1422.73,0.0
124,609,2025-12-10,2025-12-22,Lost,Starter,1,542.21,0.0
125,622,2025-12-10,2025-12-16,Lost,Starter,1,643.46,0.0
126,629,2025-12-11,2026-01-21,Lost,Group,5,17751.55,0.0
127,630,2025-12-11,2026-01-06,Lost,Pro,1,1410.75,0.0
128,631,2025-12-11,2026-01-22,Lost,Group,5,16234.92,0.0
129,634,2025-12-11,2025-12-29,Lost,Group,2,7644.47,0.0
130,636,2025-12-16,2026-01-01,Lost,Starter,1,559.89,0.0
131,639,2025-12-16,2026-01-07,Won,Group,3,10478.97,10081.33
132,643,2025-12-11,2026-01-04,Won,Starter,1,605.47,542.83
133,644,2025-12-16,2026-01-11,Won,Starter,1,533.55,453.53
134,647,2025-12-10,2026-01-12,Won,Pro,1,1334.46,1218.92
135,648,2025-12-16,2026-01-04,Lost,Pro,1,1292.91,0.0
136,649,2025-12-09,2025-12-16,Won,Starter,1,552.31,485.83
137,656,2025-12-11,2026-01-06,Won,Starter,1,629.7,635.48
138,657,2025-12-12,2025-12-18,Lost,Starter,1,610.27,0.0
139,658,2025-12-16,2026-01-23,Lost,Group,4,12992.76,0.0
140,659,2025-12-10,2025-12-31,Lost,Pro,1,1359.76,0.0
141,660,2025-12-18,2026-01-05,Lost,Starter,1,621.97,0.0
142,667,2025-12-17,2025-12-31,Lost,Starter,1,589.65,0.0
143,675,2025-12-11,2026-01-03,Won,Pro,1,1402.22,1254.66
144,678,2025-12-11,2025-12-26,Lost,Group,2,6553.24,0.0
145,679,2025-12-10,2026-01-20,Won,Pro,1,1436.58,1309.56
146,680,2025-12-15,2025-12-30,Lost,Pro,1,1430.87,0.0
147,683,2025-12-10,2026-01-07,Lost,Group,3,9803.14,0.0
148,684,2025-12-17,2025-12-21,Lost,Pro,1,1564.27,0.0
149,685,2025-12-15,2026-03-09,Lost,Group,5,18118.44,0.0
150,707,2025-12-14,2026-01-09,Lost,Group,3,11004.41,0.0
151,724,2025-12-16,2026-01-10,Lost,Pro,1,1570.02,0.0
152,725,2025-12-17,2026-01-01,Lost,Starter,1,558.5,0.0
153,738,2025-12-20,2026-01-16,Lost,Pro,1,1354.21,0.0
154,739,2025-12-17,2025-12-31,won,Starter,1,537.12,490.67
155,740,2025-12-13,2025-12-23,Won,Starter,1,610.25,612.22
156,744,2025-12-21,2026-01-10,Lost,Group,5,17814.65,0.0
157,746,2025-12-16,2025-12-30,Lost,Starter,1,563.35,0.0
158,747,2025-12-17,2026-01-27,Lost,Pro,1,1531.77,0.0
159,753,2025-12-17,2025-12-30,Won,Starter,1,632.6,644.09
160,755,2025-12-23,2026-01-02,Lost,Pro,1,1515.23,0.0
161,761,2025-12-21,2026-01-09,Lost,Starter,1,581.33,0.0
162,765,2025-12-15,2025-12-25,Lost,Starter,1,595.31,0.0
163,766,2025-12-20,2026-01-22,Lost,Pro,1,1543.18,0.0
164,768,2025-12-23,2026-03-14,Won,Group,2,6821.05,6115.85
165,770,2025-12-15,2026-01-15,Won,Starter,1,532.65,488.14
166,778,2025-12-23,2026-01-18,Won,Pro,1,1399.36,1324.16
167,782,2025-12-24,2026-01-13,Lost,Starter,1,574.54,0.0
168,786,2025-12-21,2026-01-08,Won,Starter,1,549.39,536.79
169,799,2025-12-19,2026-01-16,Lost,Group,2,6829.95,0.0
170,801,2025-12-22,2026-01-07,Won,Starter,1,533.78,462.4
171,804,2025-12-24,2026-01-17,Won,Pro,1,1301.84,1307.4
172,806,2025-12-21,2026-01-07,Lost,Pro,1,1336.4,0.0
173,813,2025-12-22,2026-01-11,Lost,Starter,1,548.52,0.0
174,822,2025-12-22,2025-12-30,Lost,Pro,1,1378.24,0.0
175,826,2025-12-26,2026-01-12,Lost,Starter,1,562.37,0.0
176,827,2025-12-24,2026-01-07,Lost,Starter,1,594.07,0.0
177,830,2025-12-26,2026-01-13,Won,Starter,1,566.1,521.81
178,831,2025-12-20,2025-12-30,Lost,Pro,1,1480.31,0.0
179,832,2025-12-23,2026-01-11,Won,Pro,1,1444.44,1337.64
180,836,2025-12-26,2026-02-17,Lost,Group,5,18365.11,0.0
181,837,2025-12-22,2026-01-07,Lost,Starter,1,608.57,0.0
182,839,2025-12-26,2026-01-22,Lost,Group,5,17223.17,0.0
183,844,2025-12-19,2026-01-05,Won,Pro,1,1349.33,1318.49
184,848,2025-12-21,2026-01-18,Lost,Starter,1,640.86,0.0
185,851,2025-12-22,2026-01-12,Won,Pro,1,1454.8,1289.38
186,860,2025-12-26,2026-01-14,Lost,Group,3,9580.12,0.0
187,861,2025-12-26,2026-01-09,Lost,Pro,1,1357.01,0.0
188,866,2025-12-25,2026-01-16,Won,Starter,1,539.53,515.06
189,870,2025-12-24,2026-01-04,Won,Pro,1,1367.68,1188.96
190,871,2025-12-20,2026-02-09,Won,Starter,1,539.76,461.32
191,893,2025-12-21,2026-01-01,Won,Starter,1,544.24,536.75
192,895,2025-12-28,2026-01-13,Lost,Starter,1,590.85,0.0
193,896,2025-12-22,2026-01-04,Won,Pro,1,1332.21,1247.4
194,905,2025-12-30,2026-01-16,Lost,Starter,1,617.19,0.0
195,907,2025-12-29,2026-01-14,Lost,Pro,1,1301.45,0.0
196,913,2025-12-27,2026-01-06,Lost,Starter,1,581.44,0.0
197,915,2025-12-25,2026-01-08,Lost,Starter,1,599.51,0.0
198,916,2025-12-27,2026-02-27,Won,Group,3,11204.68,9922.22
199,923,2025-12-26,2026-01-14,Lost,Pro,1,1364.24,0.0
200,926,2025-12-29,2026-01-11,Won,Starter,1,585.33,587.9
