opportunity_id,lead_id,created_date_key,close_date_key,revenue_date_key,channel_id,campaign_id,region_id,company_size,plan,sites,status,is_won,expected_value,won_value,sales_cycle_days,value_imputed
47,242,20251121,20251212,20251212,4,10,6,10-49,Pro,1,Lost,0,1376.55,0.0,21,0
48,245,20251121,20251201,20251201,4,11,1,1-9,Pro,1,Lost,0,1530.97,0.0,10,0
49,248,20251123,20251215,20251215,5,14,1,1-9,Starter,1,Won,1,554.09,558.27,22,0
50,249,20251124,20251220,20251220,6,16,6,1-9,Starter,1,Lost,0,581.17,0.0,26,0
51,250,20251124,20251210,20251210,7,19,2,10-49,Pro,1,Lost,0,1570.14,0.0,16,0
52,253,20251125,20251230,20251230,2,4,2,10-49,Pro,1,Won,1,1503.3,1470.92,35,0
53,260,20251118,20251126,20251126,5,14,3,1-9,Pro,1,Won,1,1554.31,1442.2,8,0
54,261,20251125,20251219,20251219,5,14,7,10-49,Starter,1,Won,1,624.53,574.56,24,0
55,272,20251125,20260116,20260116,4,11,5,50+,Group,3,Lost,0,10390.2,0.0,52,0
56,276,20251121,20251204,20251204,5,13,8,1-9,Starter,1,Lost,0,550.25,0.0,13,0
57,278,20251122,20251127,20251127,5,14,5,1-9,Pro,1,Lost,0,1525.4,0.0,5,0
58,284,20251122,20251210,20251210,7,20,5,1-9,Starter,1,Lost,0,635.09,0.0,18,0
59,290,20251123,20251216,20251216,1,3,2,1-9,Pro,1,Lost,0,1514.11,0.0,23,0
60,294,20251128,20251224,20251224,4,10,4,10-49,Group,4,Won,1,13915.69,11859.53,26,0
61,299,20251120,20260327,20260327,4,10,4,50+,Pro,1,Lost,0,1378.01,0.0,127,0
62,304,20251124,20251219,20251219,5,14,1,1-9,Starter,1,Lost,0,627.97,0.0,25,0
63,305,20251127,20251218,20251218,6,16,1,1-9,Starter,1,Won,1,620.5,536.0,21,0
64,306,20251122,20260109,20260109,7,19,7,10-49,Pro,1,Lost,0,1446.87,0.0,48,0
65,316,20251124,20251201,20251201,4,10,1,10-49,Pro,1,Lost,0,1551.61,0.0,7,0
66,318,20251129,20251204,20251204,4,10,5,1-9,Starter,1,Lost,0,544.3,0.0,5,0
67,325,20251126,20260103,20260103,5,14,1,1-9,Starter,1,Won,1,561.95,480.24,38,0
68,328,20251125,20251210,20251210,7,19,8,10-49,Pro,1,Lost,0,1537.6,0.0,15,0
69,329,20251125,20251210,20251210,7,20,4,1-9,Starter,1,Lost,0,550.09,0.0,15,0
70,330,20251123,20251208,20251208,1,1,1,1-9,Pro,1,Lost,0,1471.92,0.0,15,0
71,331,20251126,20251206,20251206,1,2,2,10-49,Pro,1,Lost,0,1426.03,0.0,10,0
72,340,20251127,20251206,20251206,4,10,5,1-9,Starter,1,Lost,0,633.62,0.0,9,0
73,345,20251127,20260102,20260102,5,13,3,10-49,Pro,1,Lost,0,1427.51,0.0,36,0
74,349,20251124,20251206,20251206,7,20,6,1-9,Starter,1,Lost,0,550.35,0.0,12,0
75,353,20251201,20251211,20251211,2,4,7,1-9,Starter,1,Lost,0,544.96,0.0,10,0
76,373,20251202,20251210,20251210,1,2,6,10-49,Pro,1,Won,1,1315.59,1149.78,8,0
77,384,20251128,20251224,20251224,5,13,2,1-9,Starter,1,Lost,0,586.69,0.0,26,0
78,385,20251124,20251212,20251212,5,14,6,1-9,Starter,1,Lost,0,530.51,0.0,18,0
79,399,20251130,20251214,20251214,5,13,8,10-49,Starter,1,Won,1,566.94,502.59,14,0
80,400,20251128,20260317,20260317,5,13,5,50+,Group,3,Lost,0,10504.32,0.0,109,0
81,401,20251203,20260106,20260106,5,13,5,10-49,Pro,1,Lost,0,1383.62,0.0,34,0
82,403,20251202,20251208,20251208,6,16,4,1-9,Starter,1,Lost,0,566.11,0.0,6,0
83,404,20251125,20251215,20251215,6,16,4,1-9,Pro,1,Lost,0,1332.18,0.0,20,0
84,405,20251125,20251223,20251223,7,19,2,50+,Group,3,Lost,0,10658.67,0.0,28,0
85,415,20251129,20251214,20251214,4,11,3,1-9,Starter,1,Lost,0,641.78,0.0,15,0
86,417,20251127,20251219,20251219,5,13,6,1-9,Starter,1,Lost,0,583.28,0.0,22,0
87,418,20251127,20251211,20251211,5,13,2,50+,Group,3,Lost,0,10061.16,0.0,14,0
88,420,20251202,20251229,20251229,5,13,3,1-9,Starter,1,Lost,0,628.28,0.0,27,0
89,424,20251128,20251213,20251213,7,20,6,1-9,Pro,1,Won,1,1447.9,1296.9,15,0
90,429,20251127,20251228,20251228,4,10,3,1-9,Pro,1,Lost,0,1356.38,0.0,31,0
91,433,20251128,20260109,20260109,5,13,1,50+,Group,4,Lost,0,14758.02,0.0,42,0
92,453,20251129,20251213,20251213,6,16,4,1-9,Starter,1,Won,1,572.61,554.05,14,0
93,457,20251206,20251215,20251215,1,2,7,1-9,Starter,1,Lost,0,561.4,0.0,9,0
94,458,20251205,20251216,20251216,1,3,7,1-9,Starter,1,Lost,0,602.84,0.0,11,0
95,459,20251129,20251208,20251208,2,4,6,10-49,Pro,1,Lost,0,1360.42,0.0,9,0
96,466,20251207,20251223,20251223,4,10,2,50+,Group,5,Won,1,19045.15,16940.62,16,0
97,469,20251129,20251214,20251214,5,13,2,1-9,Starter,1,Lost,0,584.64,0.0,15,0
98,470,20251201,20251223,20251223,7,19,1,1-9,Starter,1,Lost,0,591.97,0.0,22,0
99,486,20251202,20251208,20251208,7,19,7,1-9,Starter,1,Won,1,554.26,505.97,6,0
100,487,20251201,20260111,20260111,7,20,4,10-49,Pro,1,Won,1,1381.28,1245.19,41,0
101,496,20251202,20251229,20251229,6,16,1,10-49,Pro,1,Lost,0,1553.58,0.0,27,0
102,499,20251203,20251230,20251230,7,20,1,10-49,Pro,1,Lost,0,1314.51,0.0,27,0
103,512,20251203,20251219,20251219,4,11,1,1-9,Starter,1,Lost,0,549.79,0.0,16,0
104,513,20251205,20251221,20251221,5,13,1,10-49,Starter,1,Lost,0,543.09,0.0,16,0
105,515,20251210,20251231,20251231,7,19,5,10-49,Pro,1,Lost,0,1430.42,0.0,21,0
106,527,20251210,20260117,20260117,4,11,3,1-9,Starter,1,Lost,0,622.16,0.0,38,0
107,534,20251210,20260209,20260209,6,16,4,50+,Group,4,Lost,0,13665.56,0.0,61,0
108,535,20251210,20251231,20251231,6,16,2,50+,Group,3,Lost,0,10596.69,0.0,21,0
109,538,20251206,20251224,20251224,7,19,3,10-49,Pro,1,Lost,0,1480.85,0.0,18,0
110,539,20251208,20251216,20251216,7,19,3,1-9,Starter,1,Lost,0,590.34,0.0,8,0
111,547,20251206,20251217,20251217,5,14,4,1-9,Starter,1,Lost,0,604.59,0.0,11,0
112,548,20251210,20260204,20260204,6,16,2,50+,Group,3,Lost,0,11218.44,0.0,56,0
113,551,20251206,20260103,20260103,6,17,7,10-49,Pro,1,Lost,0,1467.79,0.0,28,0
114,552,20251206,20251211,20251211,6,17,6,1-9,Starter,1,Lost,0,578.59,0.0,5,0
115,553,20251211,20251228,20251228,6,17,3,10-49,Pro,1,Won,1,1340.86,1208.75,17,0
116,558,20251207,20260122,20260122,2,4,2,10-49,Pro,1,Lost,0,1348.75,0.0,46,0
117,578,20251212,20251226,20251226,6,16,5,1-9,Starter,1,Lost,0,561.42,0.0,14,0
118,579,20251208,20260112,20260112,7,19,4,10-49,Starter,1,Won,1,605.2,550.27,35,0
119,583,20251206,20251222,20251222,1,3,7,10-49,Starter,1,Lost,0,634.69,0.0,16,0
120,598,20251207,20251218,20251218,5,13,3,1-9,Starter,1,Lost,0,549.55,0.0,11,0
121,599,20251212,20251231,20251231,5,13,2,10-49,Pro,1,Lost,0,1420.37,0.0,19,0
122,602,20251212,20260105,20260105,7,19,6,1-9,Starter,1,Won,1,595.93,550.33,24,0
123,605,20251210,20251226,20251226,2,4,2,1-9,Pro,1,Lost,0,1422.73,0.0,16,0
124,609,20251210,20251222,20251222,4,10,7,10-49,Starter,1,Lost,0,542.21,0.0,12,0
125,622,20251210,20251216,20251216,1,3,2,1-9,Starter,1,Lost,0,643.46,0.0,6,0
126,629,20251211,20260121,20260121,4,10,1,50+,Group,5,Lost,0,17751.55,0.0,41,0
127,630,20251211,20260106,20260106,4,10,1,10-49,Pro,1,Lost,0,1410.75,0.0,26,0
128,631,20251211,20260122,20260122,4,10,8,10-49,Group,5,Lost,0,16234.92,0.0,42,0
129,634,20251211,20251229,20251229,4,11,4,50+,Group,2,Lost,0,7644.47,0.0,18,0
130,636,20251216,20260101,20260101,5,13,8,10-49,Starter,1,Lost,0,559.89,0.0,16,0
131,639,20251216,20260107,20260107,5,13,8,10-49,Group,3,Won,1,10478.97,10081.33,22,0
132,643,20251211,20260104,20260104,7,19,2,1-9,Starter,1,Won,1,605.47,542.83,24,0
133,644,20251216,20260111,20260111,7,19,7,1-9,Starter,1,Won,1,533.55,453.53,26,0
134,647,20251210,20260112,20260112,7,20,2,10-49,Pro,1,Won,1,1334.46,1218.92,33,0
135,648,20251216,20260104,20260104,1,1,1,10-49,Pro,1,Lost,0,1292.91,0.0,19,0
136,649,20251209,20251216,20251216,1,1,5,1-9,Starter,1,Won,1,552.31,485.83,7,0
137,656,20251211,20260106,20260106,6,17,4,1-9,Starter,1,Won,1,629.7,635.48,26,0
138,657,20251212,20251218,20251218,7,19,1,1-9,Starter,1,Lost,0,610.27,0.0,6,0
139,658,20251216,20260123,20260123,7,19,2,50+,Group,4,Lost,0,12992.76,0.0,38,0
140,659,20251210,20251231,20251231,7,19,2,10-49,Pro,1,Lost,0,1359.76,0.0,21,0
141,660,20251218,20260105,20260105,1,1,2,1-9,Starter,1,Lost,0,621.97,0.0,18,0
142,667,20251217,20251231,20251231,3,8,2,1-9,Starter,1,Lost,0,589.65,0.0,14,0
143,675,20251211,20260103,20260103,5,13,2,10-49,Pro,1,Won,1,1402.22,1254.66,23,0
144,678,20251211,20251226,20251226,5,14,3,50+,Group,2,Lost,0,6553.24,0.0,15,0
145,679,20251210,20260120,20260120,7,19,7,1-9,Pro,1,Won,1,1436.58,1309.56,41,0
146,680,20251215,20251230,20251230,7,19,1,1-9,Pro,1,Lost,0,1430.87,0.0,15,0
147,683,20251210,20260107,20260107,7,20,7,10-49,Group,3,Lost,0,9803.14,0.0,28,0
148,684,20251217,20251221,20251221,7,20,3,1-9,Pro,1,Lost,0,1564.27,0.0,4,0
149,685,20251215,20260309,20260309,1,1,7,50+,Group,5,Lost,0,18118.44,0.0,84,0
150,707,20251214,20260109,20260109,7,20,1,10-49,Group,3,Lost,0,11004.41,0.0,26,0
151,724,20251216,20260110,20260110,7,20,3,10-49,Pro,1,Lost,0,1570.02,0.0,25,0
152,725,20251217,20260101,20260101,7,20,2,1-9,Starter,1,Lost,0,558.5,0.0,15,0
153,738,20251220,20260116,20260116,7,19,3,10-49,Pro,1,Lost,0,1354.21,0.0,27,0
154,739,20251217,20251231,20251231,7,20,3,1-9,Starter,1,Won,1,537.12,490.67,14,0
155,740,20251213,20251223,20251223,7,20,8,1-9,Starter,1,Won,1,610.25,612.22,10,0
156,744,20251221,20260110,20260110,3,8,6,50+,Group,5,Lost,0,17814.65,0.0,20,0
157,746,20251216,20251230,20251230,4,10,3,1-9,Starter,1,Lost,0,563.35,0.0,14,0
158,747,20251217,20260127,20260127,5,13,2,50+,Pro,1,Lost,0,1531.77,0.0,41,0
159,753,20251217,20251230,20251230,7,19,5,1-9,Starter,1,Won,1,632.6,644.09,13,0
160,755,20251223,20260102,20260102,1,1,6,10-49,Pro,1,Lost,0,1515.23,0.0,10,0
161,761,20251221,20260109,20260109,5,13,7,1-9,Starter,1,Lost,0,581.33,0.0,19,0
162,765,20251215,20251225,20251225,6,17,8,1-9,Starter,1,Lost,0,595.31,0.0,10,0
163,766,20251220,20260122,20260122,7,19,1,10-49,Pro,1,Lost,0,1543.18,0.0,33,0
164,768,20251223,20260314,20260314,7,20,6,50+,Group,2,Won,1,6821.05,6115.85,81,0
165,770,20251215,20260115,20260115,7,20,2,1-9,Starter,1,Won,1,532.65,488.14,31,0
166,778,20251223,20260118,20260118,4,10,7,10-49,Pro,1,Won,1,1399.36,1324.16,26,0
167,782,20251224,20260113,20260113,5,14,1,1-9,Starter,1,Lost,0,574.54,0.0,20,0
168,786,20251221,20260108,20260108,6,16,1,1-9,Starter,1,Won,1,549.39,536.79,18,0
169,799,20251219,20260116,20260116,4,10,4,50+,Group,2,Lost,0,6829.95,0.0,28,0
170,801,20251222,20260107,20260107,4,10,5,10-49,Starter,1,Won,1,533.78,462.4,16,0
171,804,20251224,20260117,20260117,5,14,8,10-49,Pro,1,Won,1,1301.84,1307.4,24,0
172,806,20251221,20260107,20260107,6,16,7,10-49,Pro,1,Lost,0,1336.4,0.0,17,0
173,813,20251222,20260111,20260111,1,3,8,1-9,Starter,1,Lost,0,548.52,0.0,20,0
174,822,20251222,20251230,20251230,4,10,1,10-49,Pro,1,Lost,0,1378.24,0.0,8,0
175,826,20251226,20260112,20260112,5,13,3,1-9,Starter,1,Lost,0,562.37,0.0,17,0
176,827,20251224,20260107,20260107,5,14,7,1-9,Starter,1,Lost,0,594.07,0.0,14,0
177,830,20251226,20260113,20260113,7,19,2,1-9,Starter,1,Won,1,566.1,521.81,18,0
178,831,20251220,20251230,20251230,7,19,6,1-9,Pro,1,Lost,0,1480.31,0.0,10,0
179,832,20251223,20260111,20260111,7,19,8,10-49,Pro,1,Won,1,1444.44,1337.64,19,0
180,836,20251226,20260217,20260217,7,20,8,10-49,Group,5,Lost,0,18365.11,0.0,53,0
181,837,20251222,20260107,20260107,7,20,2,1-9,Starter,1,Lost,0,608.57,0.0,16,0
182,839,20251226,20260122,20260122,2,5,5,50+,Group,5,Lost,0,17223.17,0.0,27,0
183,844,20251219,20260105,20260105,5,14,1,1-9,Pro,1,Won,1,1349.33,1318.49,17,0
184,848,20251221,20260118,20260118,6,16,2,1-9,Starter,1,Lost,0,640.86,0.0,28,0
185,851,20251222,20260112,20260112,7,19,4,10-49,Pro,1,Won,1,1454.8,1289.38,21,0
186,860,20251226,20260114,20260114,4,11,5,10-49,Group,3,Lost,0,9580.12,0.0,19,0
187,861,20251226,20260109,20260109,4,11,7,1-9,Pro,1,Lost,0,1357.01,0.0,14,0
188,866,20251225,20260116,20260116,6,16,4,10-49,Starter,1,Won,1,539.53,515.06,22,0
189,870,20251224,20260104,20260104,7,19,5,10-49,Pro,1,Won,1,1367.68,1188.96,11,0
190,871,20251220,20260209,20260209,7,19,5,10-49,Starter,1,Won,1,539.76,461.32,51,0
191,893,20251221,20260101,20260101,5,13,1,1-9,Starter,1,Won,1,544.24,536.75,11,0
192,895,20251228,20260113,20260113,6,17,7,1-9,Starter,1,Lost,0,590.85,0.0,16,0
193,896,20251222,20260104,20260104,7,20,1,10-49,Pro,1,Won,1,1332.21,1247.4,13,0
194,905,20251230,20260116,20260116,5,13,3,1-9,Starter,1,Lost,0,617.19,0.0,17,0
195,907,20251229,20260114,20260114,7,19,8,10-49,Pro,1,Lost,0,1301.45,0.0,16,0
196,913,20251227,20260106,20260106,5,14,5,1-9,Starter,1,Lost,0,581.44,0.0,10,0
197,915,20251225,20260108,20260108,7,20,6,1-9,Starter,1,Lost,0,599.51,0.0,14,0
198,916,20251227,20260227,20260227,1,1,4,50+,Group,3,Won,1,11204.68,9922.22,62,0
199,923,20251226,20260114,20260114,4,10,1,1-9,Pro,1,Lost,0,1364.24,0.0,19,0
200,926,20251229,20260111,20260111,4,11,1,1-9,Starter,1,Won,1,585.33,587.9,13,0
201,931,20251227,20260123,20260123,7,20,8,50+,Group,5,Won,1,18309.66,18440.32,27,0
202,946,20251231,20260223,20260223,6,16,1,50+,Group,2,Lost,0,7129.84,0.0,54,0
203,947,20251229,20260104,20260104,6,17,4,1-9,Starter,1,Won,1,544.49,545.12,6,0
204,948,20251230,20260120,20260120,6,17,5,50+,Group,2,Lost,0,7333.96,0.0,21,0
205,949,20260102,20260406,20260406,6,17,6,50+,Group,4,Won,1,12798.55,11408.7,94,0
206,952,20251229,20260116,20260116,7,20,2,1-9,Starter,1,Won,1,603.28,591.7,18,0
207,957,20260102,20260318,20260318,4,10,2,50+,Pro,1,Lost,0,1503.72,0.0,75,0
208,958,20251229,20260113,20260113,4,11,1,1-9,Starter,1,Won,1,631.19,596.44,15,0
209,961,20251230,20260126,20260126,6,17,5,10-49,Starter,1,Lost,0,547.55,0.0,27,0
210,963,20260101,20260114,20260114,6,17,1,1-9,Pro,1,Lost,0,1377.97,0.0,13,0
211,972,20260101,20260212,20260212,4,10,2,50+,Group,2,Lost,0,7182.55,0.0,42,0
212,991,20251229,20260114,20260114,5,15,1,1-9,Starter,1,Lost,0,635.18,0.0,16,0
213,995,20260101,20260107,20260107,4,10,6,1-9,Starter,1,Won,1,564.49,559.23,6,0
214,1003,20260102,20260114,20260114,4,11,1,1-9,Starter,1,Lost,0,621.55,0.0,12,0
215,1005,20260105,20260118,20260118,5,13,3,1-9,Starter,1,Lost,0,624.92,0.0,13,0
216,1006,20260104,20260120,20260120,5,15,8,1-9,Starter,1,Won,1,551.52,500.75,16,0
217,1010,20260108,20260114,20260114,1,1,1,1-9,Pro,1,Lost,0,1354.4,0.0,6,0
218,1011,20260107,20260409,20260409,2,5,5,10-49,Pro,1,Lost,0,1320.89,0.0,92,0
219,1013,20260104,20260215,20260215,3,8,8,10-49,Pro,1,Lost,0,1323.14,0.0,42,0
220,1017,20260108,20260127,20260127,4,11,7,1-9,Starter,1,Lost,0,635.02,0.0,19,0
221,1022,20260104,20260111,20260111,1,1,1,1-9,Pro,1,Won,1,1515.44,1428.88,7,0
222,1036,20260108,20260123,20260123,5,14,5,1-9,Pro,1,Won,1,1526.32,1478.76,15,0
223,1039,20260104,20260117,20260117,7,20,5,1-9,Starter,1,Lost,0,569.06,0.0,13,0
224,1046,20260102,20260130,20260130,4,10,8,1-9,Starter,1,Lost,0,636.88,0.0,28,0
225,1047,20260107,20260122,20260122,4,11,5,1-9,Starter,1,Won,1,543.08,494.39,15,0
226,1050,20260105,20260128,20260128,5,13,8,10-49,Pro,1,Lost,0,1340.23,0.0,23,0
227,1052,20260105,20260328,20260328,5,14,1,50+,Group,3,Lost,0,9425.34,0.0,82,0
228,1053,20260103,20260115,20260115,6,17,4,1-9,Pro,1,Lost,0,1538.41,0.0,12,0
229,1055,20260106,20260113,20260113,7,20,6,10-49,Starter,1,Won,1,569.94,578.72,7,0
230,1060,20260105,20260208,20260208,5,13,3,10-49,Starter,1,Lost,0,613.0,0.0,34,0
231,1067,20260105,20260118,20260118,4,10,6,1-9,Pro,1,Lost,0,1319.45,0.0,13,0
232,1069,20260105,20260124,20260124,5,14,3,10-49,Pro,1,Lost,0,1320.59,0.0,19,0
233,1070,20260109,20260129,20260129,6,17,6,1-9,Pro,1,Lost,0,1470.95,0.0,20,0
234,1071,20260112,20260131,20260131,6,17,2,1-9,Starter,1,Lost,0,552.93,0.0,19,0
235,1073,20260110,20260127,20260127,1,1,1,1-9,Starter,1,Won,1,531.64,519.18,17,0
236,1074,20260107,20260115,20260115,1,1,3,1-9,Pro,1,Lost,0,1308.54,0.0,8,0
237,1082,20260105,20260118,20260118,7,19,2,10-49,Pro,1,Lost,0,1428.95,0.0,13,0
238,1083,20260111,20260117,20260117,1,1,2,1-9,Starter,1,Lost,0,533.26,0.0,6,0
239,1085,20260107,20260203,20260203,1,2,6,10-49,Starter,1,Won,1,589.57,594.55,27,0
240,1094,20260112,20260125,20260125,5,13,2,1-9,Starter,1,Lost,0,578.56,0.0,13,0
241,1095,20260114,20260201,20260201,5,14,8,1-9,Starter,1,Won,1,561.67,500.2,18,0
242,1098,20260109,20260127,20260127,1,1,7,1-9,Pro,1,Lost,0,1346.54,0.0,18,0
243,1105,20260108,20260120,20260120,4,11,6,10-49,Pro,1,Lost,0,1482.61,0.0,12,0
244,1108,20260108,20260211,20260211,5,13,2,1-9,Starter,1,Lost,0,569.03,0.0,34,0
245,1109,20260110,20260125,20260125,5,13,4,50+,Group,4,Lost,0,12765.65,0.0,15,0
246,1115,20260111,20260130,20260130,6,17,2,10-49,Group,2,Lost,0,7078.32,0.0,19,0
247,1123,20260111,20260201,20260201,4,10,7,10-49,Pro,1,Lost,0,1365.26,0.0,21,0
248,1129,20260112,20260125,20260125,5,14,3,1-9,Starter,1,Won,1,623.95,545.94,13,0
249,1132,20260109,20260121,20260121,6,16,7,10-49,Group,2,Lost,0,6650.77,0.0,12,0
250,1137,20260109,20260128,20260128,7,19,5,10-49,Group,3,Won,1,9838.45,8755.02,19,0
251,1138,20260116,20260208,20260208,7,20,2,1-9,Pro,1,Lost,0,1311.74,0.0,23,0
252,1146,20260112,20260203,20260203,3,8,6,10-49,Starter,1,Lost,0,561.01,0.0,22,0
253,1147,20260116,20260128,20260128,4,11,6,1-9,Starter,1,Won,1,535.39,520.18,12,0
254,1148,20260112,20260127,20260127,5,14,3,1-9,Starter,1,Lost,0,573.17,0.0,15,0
255,1153,20260113,20260209,20260209,6,17,5,1-9,Pro,1,Lost,0,1531.05,0.0,27,0
256,1154,20260114,20260213,20260213,6,17,3,1-9,Starter,1,Won,1,553.24,534.87,30,0
257,1155,20260114,20260201,20260201,1,1,1,10-49,Pro,1,Won,1,1453.42,1458.54,18,0
258,1169,20260117,20260120,20260120,5,13,2,1-9,Pro,1,Lost,0,1465.96,0.0,3,0
259,1170,20260113,20260220,20260220,5,14,1,1-9,Starter,1,Won,1,575.27,507.93,38,0
260,1179,20260113,20260121,20260121,3,8,6,1-9,Starter,1,Lost,0,612.1,0.0,8,0
261,1183,20260114,20260128,20260128,4,10,1,1-9,Pro,1,Lost,0,1359.44,0.0,14,0
262,1185,20260117,20260204,20260204,5,14,8,10-49,Pro,1,Won,1,1496.94,1333.46,18,0
263,1187,20260119,20260130,20260130,6,16,1,1-9,Starter,1,Won,1,588.19,593.16,11,0
264,1190,20260117,20260125,20260125,6,17,4,10-49,Pro,1,Lost,0,1527.97,0.0,8,0
265,1191,20260112,20260215,20260215,7,20,1,10-49,Group,3,Won,1,9621.03,8722.9,34,0
266,1195,20260119,20260311,20260311,2,5,1,50+,Group,3,Won,1,10273.37,10082.93,51,0
267,1207,20260115,20260224,20260224,5,13,1,10-49,Starter,1,Lost,0,536.92,0.0,40,0
268,1210,20260119,20260205,20260205,6,16,6,1-9,Starter,1,Lost,0,577.5,0.0,17,0
269,1212,20260114,20260126,20260126,7,20,2,10-49,Pro,1,Won,1,1552.08,1419.27,12,0
270,1213,20260120,20260202,20260202,7,20,4,10-49,Pro,1,Lost,0,1460.17,0.0,13,0
271,1226,20260115,20260220,20260220,6,17,6,10-49,Pro,1,Won,1,1467.1,1411.1,36,0
272,1227,20260119,20260214,20260214,7,19,2,10-49,Pro,1,Won,1,1366.02,1278.09,26,0
273,1231,20260115,20260224,20260224,1,3,4,50+,Group,5,Lost,0,17565.77,0.0,40,0
274,1241,20260122,20260211,20260211,4,10,4,10-49,Pro,1,Won,1,1481.17,1418.92,20,0
