date,channel,campaign,impressions,clicks,sessions,spend
2025-12-30,Direct,Returning Visitors,28,28,28,0.0
2026-02-11,Email,Newsletter,711,27,27,6.5
2026-02-11,Direct,Brand Direct,107,107,107,0.0
2026-05-10,Meta Ads,Lead Magnet,3646,40,37,31.61
2026-04-02,Google Ads,Competitor Search,359,15,14,42.23
2025-11-05,Referral,Partner Network,12,12,12,13.88
2025-11-29,Google Ads,Restaurant Operations,369,16,14,31.14
2026-05-18,Direct,Brand Direct,131,131,131,0.0
2026-03-01,Referral,Industry Events,8,8,8,0.0
2026-05-11,Direct,Brand Direct,132,132,132,0.0
2026-06-29,Referral,Industry Events,15,15,15,0.0
2026-02-21,Meta Ads,Lead Magnet,3410,39,37,23.73
2025-11-29,Meta Ads,Awareness Video,5302,65,57,36.4
2026-01-30,Organic Search,SEO Guides,4062,130,130,0.0
2026-05-08,LinkedIn Ads,SMB Growth,1240,8,7,44.79
2026-03-08,linkedin ads,Decision Makers,830,7,7,48.24
2026-04-18,Referral,Industry Events,7,7,7,0.0
2025-12-09,Organic Search,SEO Guides,3281,105,105,0.0
2026-01-15,Meta Ads,Retargeting,1587,20,18,17.39
2026-02-23,Meta Ads,Retargeting,1914,24,21,22.76
2026-05-15,LinkedIn Ads,SMB Growth,895,6,6,35.82
2026-01-02,Meta Ads,Lead Magnet,2267,23,20,16.43
2026-02-26,Google Ads,High Intent Search,931,39,35,93.8
2026-03-10,Email,Reactivation,263,10,10,6.5
2026-02-05,Google Ads,Competitor Search,388,17,15,53.88
2025-12-09,Organic Search,SEO Product Pages,3750,120,120,0.0
2026-03-16,Email,Newsletter,1079,41,41,6.5
2026-05-29,Email,Newsletter,1000,38,38,6.5
2026-05-14,Direct,Brand Direct,114,114,114,0.0
2025-11-19,Organic Search,SEO Guides,3594,115,115,0.0
2026-03-27,Direct,Demo Page Direct,27,27,27,0.0
2026-01-05,Referral,Partner Network,20,20,20,16.87
2026-01-20,Organic Search,SEO Product Pages,4125,132,132,0.0
2026-01-23,Meta Ads,Awareness Video,8277,94,83,60.89
2026-05-04,Google Ads,Competitor Search,435,17,16,53.31
2026-05-31,Direct,Demo Page Direct,22,22,22,0.0
2026-02-27,META ADS,Awareness Video,10466,137,122,70.2
2026-02-01,Email,Reactivation,211,8,8,6.5
2026-06-29,Referral,Partner Network,22,22,22,19.43
2026-06-11,LinkedIn Ads,Operations Leaders,1250,8,7,49.73
2026-03-01,Direct,Demo Page Direct,18,18,18,0.0
2026-01-29,Referral,Partner Network,14,14,14,16.29
2026-02-22,Meta Ads,Awareness Video,5851,70,61,44.44
2026-02-26,Google Ads,Competitor Search,345,16,15,51.29
2026-06-27,Referral,Customer Referral,16,16,16,0.0
2026-06-19,Organic Search,SEO Guides,4219,135,135,0.0
2026-01-11,Direct,Demo Page Direct,20,20,20,0.0
2026-06-07,Email,Lead Nurture,500,19,19,6.5
2026-04-05,Direct,Brand Direct,80,80,80,0.0
2025-12-02,Direct,Brand Direct,101,101,101,0.0
2026-04-30,Direct,Demo Page Direct,35,35,35,0.0
2026-05-18,LinkedIn Ads,Decision Makers,1155,8,7,55.61
2026-04-23,Direct,Returning Visitors,44,44,44,0.0
2026-06-18,Referral,Partner Network,18,18,18,16.48
2025-12-13,Email,Lead Nurture,421,16,16,6.5
2026-01-24,Direct,Returning Visitors,42,42,42,0.0
2026-02-17,Organic Search,SEO Product Pages,4188,134,134,0.0
2026-02-25,Email,Lead Nurture,474,18,18,6.5
2026-05-14,Referral,Industry Events,7,7,7,0.0
2025-12-27,Direct,Demo Page Direct,15,15,15,0.0
2026-06-24,Email,Lead Nurture,947,36,36,6.5
2026-05-03,Email,Newsletter,974,37,37,6.5
2026-05-06,Google Ads,Competitor Search,381,18,16,55.36
2026-03-17,Google Ads,Restaurant Operations,355,19,17,42.72
2026-01-01,Direct,Returning Visitors,32,32,32,0.0
2026-06-06,Organic Search,SEO Guides,3469,111,111,0.0
2026-03-15,Direct,Brand Direct,60,60,60,0.0
2025-12-22,Organic Search,SEO Guides,2094,67,67,0.0
2026-01-25,Meta Ads,Awareness Video,4980,69,60,44.27
2026-05-28,Direct,Demo Page Direct,39,39,39,0.0
2026-01-10,Direct,Brand Direct,73,73,73,0.0
2026-01-18,Google Ads,Competitor Search,206,10,9,31.65
2026-04-02,Google Ads,Restaurant Operations,401,19,17,44.09
2026-01-24,Email,Lead Nurture,605,23,23,6.5
2025-12-31,Referral,Partner Network,14,14,14,7.76
2025-11-24,Email,Newsletter,842,32,32,6.5
2026-01-01,LinkedIn Ads,Decision Makers,515,4,4,29.76
2026-01-24,LinkedIn Ads,SMB Growth,664,4,3,25.97
2026-04-29,Email,Reactivation,395,15,15,6.5
2026-04-13,Organic Search,SEO Guides,4312,138,138,0.0
2026-02-16,Google Ads,High Intent Search,1024,44,40,107.88
2025-12-18,Referral,Partner Network,19,19,19,16.23
2025-12-23,Direct,Brand Direct,53,53,53,0.0
2026-05-01,Email,Newsletter,895,34,34,6.5
2026-02-05,LinkedIn Ads,Operations Leaders,772,6,5,40.67
2025-11-17,Meta Ads,Lead Magnet,2792,37,35,27.24
2026-04-09,Email,Reactivation,658,25,25,6.5
2026-04-03,Email,Reactivation,579,22,22,6.5
2025-12-09,Direct,Demo Page Direct,35,35,35,0.0
2025-12-05,LinkedIn Ads,Operations Leaders,776,5,4,32.24
2026-05-13,Organic Search,SEO Comparison,1750,56,56,0.0
2026-03-05,Organic Search,SEO Comparison,1781,57,57,0.0
2026-02-05,Email,Reactivation,447,17,17,6.5
2026-04-20,Meta Ads,Lead Magnet,4154,44,39,34.66
2025-12-22,Referral,Partner Network,9,9,9,8.76
2026-01-09,Organic Search,SEO Guides,2938,94,94,0.0
2026-05-18,Direct,Returning Visitors,45,45,45,0.0
2026-02-20,Direct,Returning Visitors,56,56,56,0.0
2026-02-21,LinkedIn Ads,Decision Makers,767,6,5,46.45
2026-02-25,LinkedIn Ads,Decision Makers,925,7,6,54.57
2026-04-27,Google Ads,Competitor Search,447,20,18,61.32
2026-03-22,Email,Lead Nurture,579,22,22,6.5
2026-01-17,Referral,Customer Referral,7,7,7,0.0
2026-06-25,Organic Search,SEO Product Pages,4656,149,149,0.0
2026-01-12,Google Ads,Competitor Search,348,16,15,49.27
2026-04-10,Organic Search,SEO Product Pages,4281,137,137,0.0
2026-06-13,Organic Search,SEO Guides,3094,99,99,0.0
2026-03-18,LinkedIn Ads,Decision Makers,1163,8,7,61.65
2026-03-22,Direct,Brand Direct,72,72,72,0.0
2025-11-16,Organic Search,SEO Product Pages,2094,67,67,0.0
2026-05-28,Direct,Returning Visitors,67,67,67,0.0
2026-05-14,Email,Reactivation,526,20,20,6.5
2026-03-13,Direct,Brand Direct,98,98,98,0.0
2026-03-02,Organic Search,SEO Product Pages,4531,145,145,0.0
2026-05-19,Email,Newsletter,974,37,37,6.5
2026-06-30,Meta Ads,Lead Magnet,3767,49,45,35.12
2025-12-18,Email,Newsletter,947,36,36,6.5
2025-11-22,Google Ads,Restaurant Operations,381,14,13,30.01
2025-12-25,Email,Lead Nurture,316,12,12,6.5
2026-02-22,Meta Ads,Lead Magnet,2663,28,26,21.89
2026-05-06,Meta Ads,Lead Magnet,4148,50,44,41.75
2026-06-29,Email,Lead Nurture,684,26,26,6.5
2026-05-27,Organic Search,SEO Comparison,1781,57,57,0.0
2026-04-09,Meta Ads,Retargeting,2418,30,26,25.52
2026-06-27,Meta Ads,Lead Magnet,2869,35,32,24.64
2026-04-24,Email,Lead Nurture,842,32,32,6.5
2026-05-02,Meta Ads,Retargeting,1471,18,17,15.43
2026-01-08,Meta Ads,Awareness Video,9336,104,90,67.09
2026-02-08,Meta Ads,Retargeting,1604,20,19,18.74
2026-01-07,Direct,Returning Visitors,45,45,45,0.0
2026-05-03,Meta Ads,Lead Magnet,2750,35,31,23.92
2025-11-21,Google Ads,Restaurant Operations,469,20,19,41.45
2026-03-22,Meta Ads,Awareness Video,8173,88,79,52.51
2026-04-21,Organic Search,SEO Guides,4156,133,133,0.0
2026-03-05,Google Ads,Competitor Search,509,20,19,57.34
2026-02-22,LinkedIn Ads,Operations Leaders,444,3,3,24.52
2026-01-08,Referral,Customer Referral,10,10,10,0.0
2026-03-13,Meta Ads,Retargeting,1922,22,21,20.79
2026-01-18,Meta Ads,Retargeting,1645,21,18,17.69
2026-02-06,Email,Lead Nurture,921,35,35,6.5
2026-06-11,Direct,Demo Page Direct,34,34,34,0.0
2026-06-13,Meta Ads,Retargeting,1511,20,17,20.21
2026-01-21,Organic Search,SEO Guides,3906,125,125,0.0
2025-12-30,Referral,Partner Network,8,8,8,7.75
2026-06-01,LinkedIn Ads,SMB Growth,855,6,6,34.59
2026-02-10,Direct,Brand Direct,120,120,120,0.0
2026-02-07,Organic Search,SEO Comparison,1094,35,35,0.0
2026-03-24,Referral,Industry Events,7,7,7,0.0
2025-12-16,Google Ads,High Intent Search,667,29,27,70.72
2026-02-07,Email,Lead Nurture,737,28,28,6.5
2025-12-28,Organic Search,SEO Guides,1594,51,51,0.0
2026-05-31,Email,Reactivation,184,7,7,6.5
2026-03-23,Direct,Brand Direct,108,108,108,0.0
2026-01-23,Email,Lead Nurture,447,17,17,6.5
2026-01-12,LinkedIn Ads,Decision Makers,1020,8,7,61.09
2026-02-28,Referral,Customer Referral,5,5,5,0.0
2025-12-06,Direct,Returning Visitors,25,25,25,0.0
2026-02-14,Referral,Customer Referral,11,11,11,0.0
2026-05-13,LinkedIn Ads,SMB Growth,908,6,5,38.85
2026-06-29,Google Ads,Competitor Search,346,17,15,43.96
2026-06-16,Google Ads,Competitor Search,494,21,18,64.22
2026-05-01,Organic Search,SEO Guides,4344,139,139,0.0
2026-01-28,Linkedin Ads,Operations Leaders,792,6,5,41.61
2026-02-06,Organic Search,SEO Guides,3469,111,111,0.0
2026-06-06,Google Ads,High Intent Search,649,32,29,77.93
2025-11-26,Organic Search,SEO Product Pages,3625,116,116,0.0
2026-01-09,Email,Lead Nurture,500,19,19,6.5
2026-03-26,Direct,Returning Visitors,71,71,71,0.0
2025-12-24,Direct,Demo Page Direct,17,17,17,0.0
2026-03-14,LinkedIn Ads,SMB Growth,462,3,3,18.37
2026-02-04,Direct,Demo Page Direct,31,31,31,0.0
2025-11-24,Meta Ads,Awareness Video,7950,92,84,55.5
2026-05-13,Referral,Customer Referral,17,17,17,0.0
2026-01-14,Google Ads,Restaurant Operations,563,23,21,50.19
2025-11-23,Direct,Brand Direct,78,78,78,0.0
2026-03-31,Meta Ads,Lead Magnet,3562,43,40,31.22
2026-03-05,Email,Lead Nurture,816,31,31,6.5
2026-05-26,LinkedIn Ads,Decision Makers,1461,10,9,70.92
2026-03-07,Email,Lead Nurture,289,11,11,6.5
2026-03-24,Direct,Demo Page Direct,29,29,29,0.0
2025-11-10,linkedin ads,Decision Makers,1223,8,7,69.67
2026-02-19,Email,Newsletter,974,37,37,6.5
2026-03-31,Email,Newsletter,711,27,27,6.5
2025-11-27,Meta Ads,Awareness Video,10387,110,101,61.69
2026-05-05,Direct,Returning Visitors,52,52,52,0.0
2025-11-05,META ADS,Lead Magnet,2791,38,35,29.74
2026-01-26,Direct,Brand Direct,97,97,97,0.0
2025-12-24,Referral,Customer Referral,7,7,7,0.0
2026-06-14,Organic Search,SEO Guides,3594,115,115,0.0
2026-01-14,Referral,Partner Network,17,17,17,14.0
2025-12-05,Google Ads,Restaurant Operations,447,21,19,43.74
2026-06-28,LinkedIn Ads,Decision Makers,962,7,6,55.45
2026-05-31,Organic Search,SEO Comparison,1625,52,52,0.0
2026-02-21,Meta Ads,Awareness Video,6931,80,74,43.77
2026-05-25,LinkedIn Ads,SMB Growth,1183,8,7,39.16
2026-06-29,Google Ads,Restaurant Operations,528,25,23,49.17
2025-12-19,Direct,Returning Visitors,40,40,40,0.0
2026-06-13,Referral,Industry Events,10,10,10,0.0
2026-03-03,Google Ads,Competitor Search,476,22,20,66.65
2026-04-17,LinkedIn Ads,Operations Leaders,704,5,5,40.46
2026-01-10,Google Ads,Restaurant Operations,264,11,10,24.79
2026-01-16,Referral,Customer Referral,10,10,10,0.0
2026-04-06,Email,Reactivation,395,15,15,6.5
2025-12-21,Meta Ads,Awareness Video,6257,81,73,42.59
2026-04-20,Direct,Demo Page Direct,29,29,29,0.0
2026-04-20,Google Ads,Restaurant Operations,496,23,20,47.88
2026-01-06,LinkedIn Ads,Decision Makers,1484,11,10,66.96
2026-03-14,Direct,Brand Direct,81,81,81,0.0
2026-06-03,Direct,Demo Page Direct,30,30,30,0.0
2026-05-26,Meta Ads,Lead Magnet,3405,47,44,37.84
2025-12-26,Direct,Returning Visitors,35,35,35,0.0
2026-01-17,Email,Newsletter,658,25,25,6.5
2026-02-12,Email,Newsletter,842,32,32,6.5
2025-11-21,Organic Search,SEO Guides,3031,97,97,0.0
2026-04-23,Google Ads,High Intent Search,1070,44,38,100.68
2026-01-11,Meta Ads,Awareness Video,4619,59,55,35.41
2025-11-04,Organic Search,SEO Product Pages,3656,117,117,0.0
2026-03-01,Meta Ads,Lead Magnet,2741,35,30,25.42
2026-06-27,LinkedIn Ads,Operations Leaders,535,4,4,32.76
2026-03-14,LinkedIn Ads,Operations Leaders,726,5,5,31.55
2026-05-09,LinkedIn Ads,SMB Growth,773,5,5,27.77
