lead_id,created_at,channel,campaign,region,company_size,business_type,lead_score,is_mql,is_sql
22,2025-11-03 17:12,Google Ads,High Intent Search,Flemish Brabant,10-49,Snack,39.0,1,1
23,2025-11-03 08:46,Google Ads,High Intent Search,Hainaut,1-9,Restaurant,65.0,0,0
24,2025-11-03 14:32,LinkedIn Ads,Decision Makers,Antwerp,10-49,Snack,72.0,1,0
25,2025-11-03 13:58,Meta Ads,Awareness Video,East Flanders,1-9,Restaurant,21.0,0,0
26,2025-11-03 12:35,Meta Ads,Awareness Video,Hainaut,10-49,Snack,48.0,0,0
27,2025-11-03 19:59,Meta Ads,Awareness Video,Brussels,10-49,Restaurant,16.0,0,0
28,2025-11-03 12:10,Meta Ads,Awareness Video,Flemish Brabant,10-49,Restaurant,22.0,0,0
29,2025-11-03 10:27,Meta Ads,Awareness Video,Walloon Brabant,10-49,Restaurant,51.0,0,0
30,2025-11-03 11:57,Meta Ads,Awareness Video,Walloon Brabant,1-9,Café,25.0,0,0
31,2025-11-03 20:51,Meta Ads,Awareness Video,Hainaut,1-9,Restaurant,22.0,0,0
32,2025-11-03 08:48,Meta Ads,Awareness Video,Brussels,1-9,Restaurant,37.0,0,0
33,2025-11-03 07:38,Meta Ads,Lead Magnet,Antwerp,10-49,Restaurant,44.0,0,0
34,2025-11-03 08:57,Organic Search,SEO Product Pages,Brussels,10-49,Restaurant,54.0,0,0
35,2025-11-03 09:30,Organic Search,SEO Product Pages,Antwerp,1-9,Restaurant,68.0,1,1
36,2025-11-03 14:57,Organic Search,SEO Guides,Brussels,1-9,Café,63.0,1,1
37,2025-11-03 21:56,Organic Search,SEO Guides,Liège,10-49,Snack,62.0,0,0
38,2025-11-03 14:24,Direct,Brand Direct,East Flanders,1-9,Restaurant,72.0,1,1
39,2025-11-04 10:38,LinkedIn Ads,Decision Makers,Namur,10-49,Bar,62.0,1,1
40,2025-11-04 08:44,Meta Ads,Awareness Video,Brussels,10-49,Café,40.0,1,0
41,2025-11-04 07:04,Meta Ads,Awareness Video,Namur,1-9,Snack,11.0,0,0
42,2025-11-04 07:15,Meta Ads,Awareness Video,Hainaut,1-9,Bar,0.0,0,0
43,2025-11-04 17:06,Organic Search,SEO Product Pages,Liège,1-9,Restaurant,40.0,1,0
44,2025-11-04 21:48,Organic Search,SEO Product Pages,Hainaut,1-9,Hotel,76.0,0,0
45,2025-11-04 14:31,Organic Search,SEO Product Pages,Walloon Brabant,10-49,Restaurant,77.0,1,0
46,2025-11-04 08:13,Organic Search,SEO Product Pages,Brussels,1-9,Restaurant,66.0,1,0
47,2025-11-04 07:25,Organic Search,SEO Product Pages,Brussels,1-9,Bar,57.0,0,0
48,2025-11-04 16:38,Organic Search,SEO Product Pages,Liège,10-49,Snack,49.0,1,0
49,2025-11-04 17:51,Direct,Brand Direct,Anvers,10-49,Restaurant,82.0,0,0
50,2025-11-04 12:10,Direct,Brand Direct,Antwerp,1-9,Restaurant,55.0,1,0
51,2025-11-04 09:25,Email,Newsletter,Namur,1-9,Restaurant,44.0,0,0
52,2025-11-04 09:42,Email,Newsletter,Antwerp,10-49,Restaurant,63.0,1,0
53,2025-11-04 09:01,Email,Newsletter,Flemish Brabant,10-49,Restaurant,78.0,0,0
54,2025-11-04 12:31,Email,Newsletter,Walloon Brabant,50+,Bar,45.0,0,0
55,2025-11-04 11:50,Email,Newsletter,Brussels,1-9,Restaurant,55.0,1,1
56,2025-11-04 10:40,Referral,Partner Network,Flemish Brabant,1-9,Snack,80.0,0,0
57,2025-11-04 17:59,Referral,Customer Referral,Brussels,10-49,Restaurant,62.0,1,1
58,2025-11-05 13:46,Google Ads,High Intent Search,East Flanders,1-9,Bar,60.0,0,0
59,2025-11-05 21:02,Meta Ads,Awareness Video,Antwerp,1-9,Café,22.0,0,0
60,2025-11-05 15:55,Meta Ads,Awareness Video,Walloon Brabant,1-9,Restaurant,22.0,0,0
61,2025-11-05 09:14,Meta Ads,Lead Magnet,East Flanders,10-49,Café,36.0,1,1
62,2025-11-05 13:47,Organic Search,SEO Product Pages,Namur,10-49,Café,64.0,1,0
63,2025-11-05 13:48,Organic Search,SEO Product Pages,East Flanders,1-9,Bar,61.0,1,0
64,2025-11-05 19:54,Organic Search,SEO Product Pages,East Flanders,50+,Restaurant,78.0,1,1
65,2025-11-05 07:01,Organic Search,SEO Product Pages,Walloon Brabant,1-9,Restaurant,58.0,0,0
66,2025-11-05 17:36,Organic Search,SEO Product Pages,Hainaut,1-9,Café,58.0,1,1
67,2025-11-05 12:19,Organic Search,SEO Guides,Walloon Brabant,10 - 49,Bar,45.0,1,1
68,2025-11-05 16:45,Organic Search,SEO Guides,Brussels,1-9,Restaurant,53.0,0,0
69,2025-11-05 10:13,Organic Search,SEO Guides,East Flanders,1-9,Snack,57.0,1,0
70,2025-11-05 19:05,Organic Search,SEO Guides,Antwerp,10-49,Restaurant,63.0,1,1
71,2025-11-05 21:09,Organic Search,SEO Guides,Brussels,1-9,Restaurant,32.0,0,0
72,2025-11-05 16:22,Direct,Brand Direct,Hainaut,1-9,Bar,66.0,0,0
73,2025-11-05 08:36,Direct,Returning Visitors,Walloon Brabant,10-49,Bar,69.0,0,0
74,2025-11-05 18:00,Direct,Returning Visitors,Hainaut,50+,Restaurant,90.0,1,0
75,2025-11-05 19:23,Email,Newsletter,Flemish Brabant,10-49,Snack,49.0,0,0
76,2025-11-05 08:08,Referral,Partner Network,Brussels,1-9,Bar,56.0,1,1
77,2025-11-06 21:05,Google Ads,Competitor Search,Brussels,10-49,Bar,43.0,1,0
78,2025-11-06 07:59,LinkedIn Ads,Decision Makers,Brussels,1-9,Restaurant,81.0,1,0
79,2025-11-06 19:44,Meta Ads,Awareness Video,Brussels,1-9,Snack,8.0,0,0
80,2025-11-06 20:15,Meta Ads,Awareness Video,Antwerp,1-9,Café,13.0,0,0
81,2025-11-06 13:44,Meta Ads,Awareness Video,Flemish Brabant,1-9,Restaurant,12.0,0,0
82,2025-11-06 09:50,Meta Ads,Awareness Video,Liège,1-9,Restaurant,34.0,0,0
83,2025-11-06 10:43,Meta Ads,Lead Magnet,Liège,1-9,Bar,32.0,0,0
84,2025-11-06 21:35,Meta Ads,Lead Magnet,Liège,1-9,Restaurant,33.0,0,0
85,2025-11-06 21:56,Meta Ads,Lead Magnet,Liège,1-9,Snack,18.0,0,0
86,2025-11-06 21:06,Organic Search,SEO Product Pages,Flemish Brabant,1-9,Restaurant,58.0,1,0
87,2025-11-06 14:35,Organic Search,SEO Guides,Walloon Brabant,1-9,Restaurant,45.0,0,0
88,2025-11-06 12:53,Organic Search,SEO Guides,Namur,1-9,Snack,34.0,1,0
89,2025-11-06 08:15,Organic Search,SEO Guides,Namur,10-49,Café,,0,0
90,2025-11-06 09:54,Direct,Brand Direct,East Flanders,10-49,Restaurant,77.0,1,1
91,2025-11-06 09:55,Direct,Brand Direct,Antwerp,1-9,Bar,63.0,1,1
92,2025-11-06 08:31,Direct,Brand Direct,Antwerp,1-9,Restaurant,60.0,1,1
93,2025-11-06 10:24,Direct,Returning Visitors,Brussels,1-9,Restaurant,48.0,0,0
94,2025-11-07 13:08,Google Ads,High Intent Search,Liège,1-9,Restaurant,37.0,0,0
95,2025-11-07 18:29,Meta Ads,Awareness Video,Hainaut,50+,Restaurant,30.0,0,0
96,2025-11-07 21:41,Meta Ads,Awareness Video,Walloon Brabant,50+,Restaurant,44.0,1,0
97,2025-11-07 10:18,Meta Ads,Awareness Video,Liège,1-9,Snack,20.0,0,0
98,2025-11-07 07:22,Meta Ads,Awareness Video,Antwerp,1-9,Café,24.0,0,0
99,2025-11-07 20:07,Meta Ads,Awareness Video,Hainaut,1-9,Restaurant,22.0,0,0
100,2025-11-07 20:40,Meta Ads,Awareness Video,Namur,1-9,Snack,0.0,0,0
101,2025-11-07 13:27,Meta Ads,Lead Magnet,East Flanders,1-9,Restaurant,32.0,0,0
102,2025-11-07 17:26,Organic Search,SEO Product Pages,Walloon Brabant,1-9,Bar,60.0,1,1
103,2025-11-07 18:37,Direct,Brand Direct,Brussels,10-49,Restaurant,71.0,1,1
104,2025-11-07 21:21,Email,Newsletter,Walloon Brabant,1-9,Snack,61.0,1,0
105,2025-11-07 10:56,Email,Newsletter,Walloon Brabant,50+,Café,47.0,1,1
106,2025-11-07 15:42,Referral,Customer Referral,namur ,1-9,Café,84.0,1,1
107,2025-11-08 10:37,Meta Ads,Awareness Video,Brussels,10-49,Restaurant,23.0,0,0
108,2025-11-08 09:22,Meta Ads,Awareness Video,Liège,10-49,Bar,55.0,1,1
109,2025-11-08 17:32,Meta Ads,Awareness Video,East Flanders,10-49,Snack,36.0,1,0
110,2025-11-08 20:15,Meta Ads,Lead Magnet,East Flanders,1-9,Bar,25.0,0,0
111,2025-11-08 15:43,Organic Search,SEO Guides,Antwerp,1-9,Restaurant,17.0,0,0
112,2025-11-08 16:51,Organic Search,SEO Guides,Brussels,10-49,Bar,21.0,0,0
113,2025-11-08 21:51,Email,Newsletter,Walloon Brabant,1 - 9,Restaurant,69.0,1,1
114,2025-11-08 18:24,Referral,Partner Network,Hainaut,1-9,Restaurant,58.0,0,0
115,2025-11-09 14:24,Google Ads,High Intent Search,Walloon Brabant,1-9,Snack,40.0,0,0
116,2025-11-09 13:17,Meta Ads,Awareness Video,Hainaut,1-9,Restaurant,20.0,0,0
117,2025-11-09 07:18,Meta Ads,Awareness Video,Antwerp,1-9,Restaurant,12.0,0,0
118,2025-11-09 13:38,Meta Ads,Summer Promo TEST,East Flanders,1-9,Bar,36.0,1,0
119,2025-11-09 09:14,Meta Ads,Awareness Video,Flemish Brabant,1-9,Restaurant,17.0,0,0
120,2025-11-09 14:57,Meta Ads,Awareness Video,Brussels,1-9,Snack,30.0,0,0
121,2025-11-09 15:34,Meta Ads,Awareness Video,East Flanders,1-9,Restaurant,23.0,0,0
122,2025-11-09 12:44,Meta Ads,Lead Magnet,Walloon Brabant,1-9,Restaurant,35.0,0,0
123,2025-11-09 20:04,Meta Ads,Summer Promo TEST,Antwerp,1-9,Bar,14.0,0,0
124,2025-11-09 08:04,Organic Search,SEO Product Pages,Namur,1-9,Bar,66.0,0,1
125,2025-11-09 17:19,Organic Search,SEO Guides,East Flanders,50+,Café,52.0,1,0
126,2025-11-09 13:00,Organic Search,SEO Guides,Brussels,1-9,Snack,31.0,0,0
127,2025-11-09 16:57,Direct,Brand Direct,Namur,1-9,Restaurant,32.0,0,0
128,2025-11-09 09:05,Direct,Returning Visitors,Brussels,1-9,Café,77.0,1,0
129,2025-11-09 13:24,Email,Newsletter,Brussels,10-49,Restaurant,53.0,1,0
130,2025-11-09 09:10,Email,Newsletter,East Flanders,10-49,Restaurant,70.0,0,0
131,2025-11-09 14:51,Email,Newsletter,Flemish Brabant,10-49,Restaurant,56.0,0,0
132,2025-11-09 10:17,Email,Newsletter,Walloon Brabant,1-9,Restaurant,46.0,0,0
133,2025-11-09 21:29,Referral,Partner Network,Antwerp,10-49,Café,72.0,1,1
134,2025-11-09 13:06,Referral,Partner Network,Liège,1-9,Restaurant,45.0,0,0
135,2025-11-09 08:16,Referral,Customer Referral,Hainaut,10-49,Restaurant,83.0,1,1
136,2025-11-10 13:50,Google Ads,Competitor Search,East Flanders,1-9,Restaurant,46.0,0,0
137,2025-11-10 17:35,Google Ads,Competitor Search,Walloon Brabant,1-9,Restaurant,28.0,0,0
138,2025-11-10 10:18,Google Ads,Competitor Search,Hainaut,1-9,Café,51.0,0,0
139,2025-11-10 16:16,Meta Ads,Awareness Video,Antwerp,10-49,Snack,64.0,0,0
140,2025-11-10 13:30,Meta Ads,Awareness Video,Flemish Brabant,50+,Snack,28.0,1,0
141,2025-11-10 20:41,Meta Ads,Awareness Video,Liège,10-49,Restaurant,42.0,0,0
142,2025-11-10 08:10,Meta Ads,Awareness Video,Brussels,10-49,Bar,47.0,0,0
143,2025-11-10 18:44,Meta Ads,Awareness Video,Antwerp,10-49,Restaurant,41.0,0,0
144,2025-11-10 11:55,Meta Ads,Lead Magnet,Walloon Brabant,10-49,Bar,46.0,0,0
145,2025-11-10 10:13,Meta Ads,Lead Magnet,Antwerp,1-9,Restaurant,40.0,1,0
146,2025-11-10 19:33,Organic Search,SEO Product Pages,Antwerp,10-49,Restaurant,55.0,0,0
147,2025-11-10 13:17,Organic Search,SEO Product Pages,Flemish Brabant,50+,Restaurant,74.0,1,0
148,2025-11-10 10:55,Organic Search,SEO Product Pages,Antwerp,10-49,Hotel,,0,0
149,2025-11-10 07:02,Organic Search,SEO Product Pages,Walloon Brabant,50+,Bar,72.0,1,0
150,2025-11-10 15:32,Organic Search,SEO Guides,Antwerp,1-9,Snack,43.0,1,1
151,2025-11-10 12:15,Organic Search,SEO Guides,Liège,1-9,Snack,33.0,1,0
152,2025-11-10 16:17,Direct,Returning Visitors,Brussels,50+,Bar,72.0,1,0
153,2025-11-10 08:32,Email,Newsletter,Hainaut,50+,Restaurant,57.0,1,0
154,2025-11-10 11:07,Email,Newsletter,Hainaut,1-9,Hotel,66.0,1,0
155,2025-11-10 18:38,Email,Newsletter,Brussels,1-9,Hotel,56.0,0,0
156,2025-11-11 09:51,Meta Ads,Awareness Video,Liège,10-49,Café,18.0,0,0
157,2025-11-11 21:35,Meta Ads,Awareness Video,Antwerp,1-9,Restaurant,12.0,0,0
158,2025-11-11 18:26,Meta Ads,Awareness Video,Walloon Brabant,1-9,Restaurant,17.0,0,0
159,2025-11-11 19:46,Organic Search,SEO Guides,Brussels,1-9,Restaurant,52.0,0,0
160,2025-11-11 07:47,Organic Search,SEO Guides,Brussels,1-9,Snack,60.0,1,0
161,2025-11-11 08:47,Direct,Brand Direct,Brussels,1-9,Restaurant,68.0,1,1
162,2025-11-11 11:21,Email,Newsletter,Liège,1-9,Restaurant,44.0,1,0
163,2025-11-11 10:13,Email,Newsletter,Liège,1-9,Restaurant,68.0,1,1
164,2025-11-11 19:56,Email,Newsletter,Flemish Brabant,1-9,Bar,35.0,0,0
165,2025-11-11 11:11,Email,Newsletter,Namur,10-49,Bar,66.0,1,1
166,2025-11-11 09:43,Referral,Partner Network,Flemish Brabant,10-49,Bar,88.0,1,1
167,2025-11-11 12:46,Referral,Partner Network,Hainaut,1-9,Bar,86.0,1,1
168,2025-11-11 07:54,Referral,Customer Referral,Antwerp,1-9,Restaurant,71.0,1,0
169,2025-11-12 11:27,Meta Ads,Awareness Video,Namur,1-9,Bar,29.0,0,0
170,2025-11-12 10:39,Meta Ads,Awareness Video,Antwerp,10-49,Restaurant,11.0,0,0
171,2025-11-12 16:04,Meta Ads,Awareness Video,Liège,1-9,Snack,30.0,0,0
172,2025-11-12 09:15,Meta Ads,Lead Magnet,Liège,50+,Restaurant,63.0,1,0
173,2025-11-12 17:07,Meta Ads,Lead Magnet,Namur,10-49,Bar,33.0,0,0
174,2025-11-12 16:02,Meta Ads,Summer Promo TEST,Antwerp,1-9,Hotel,48.0,0,0
175,2025-11-12 07:12,Organic Search,SEO Product Pages,Antwerp,10-49,Bar,60.0,1,1
176,2025-11-12 16:34,Organic Search,SEO Product Pages,Flemish Brabant,10-49,Hotel,49.0,1,0
177,2025-11-12 09:45,Organic Search,SEO Product Pages,Liège,1-9,Restaurant,58.0,1,0
178,2025-11-12 11:03,Organic Search,SEO Guides,Flemish Brabant,1-9,Restaurant,,0,0
179,2025-11-12 21:14,Organic Search,SEO Guides,East Flanders,1-9,Bar,81.0,1,1
180,2025-11-12 20:23,Organic Search,SEO Guides,East Flanders,1-9,Café,40.0,0,0
181,2025-11-12 11:13,Direct,Brand Direct,Antwerp,50+,Restaurant,70.0,1,0
182,2025-11-12 12:05,Direct,Brand Direct,Brussels,10-49,Café,73.0,1,1
183,2025-11-12 17:48,Direct,Brand Direct,Antwerp,1-9,Restaurant,62.0,1,1
184,2025-11-12 20:42,Referral,Partner Network,Hainaut,1-9,Café,72.0,0,0
185,2025-11-12 17:14,Referral,Partner Network,East Flanders,10-49,Snack,63.0,1,0
186,2025-11-12 08:28,Referral,Partner Network,East Flanders,1-9,Bar,74.0,1,1
187,2025-11-12 13:10,Referral,Customer Referral,Walloon Brabant,1-9,Bar,99.0,1,0
188,2025-11-12 09:35,Referral,Customer Referral,Antwerp,1-9,Hotel,55.0,1,1
189,2025-11-12 09:24,Referral,Customer Referral,Flemish Brabant,1-9,Restaurant,55.0,1,0
190,2025-11-13 14:37,Google Ads,Competitor Search,Hainaut,10-49,Restaurant,76.0,1,1
191,2025-11-13 19:11,LinkedIn Ads,Decision Makers,Brussels,10-49,Restaurant,100.0,1,0
192,2025-11-13 15:47,LinkedIn Ads,Decision Makers,Brussels,50+,Restaurant,100.0,1,1
193,2025-11-13 12:45,Meta Ads,Awareness Video,Flemish Brabant,1-9,Restaurant,23.0,0,0
194,2025-11-13 21:23,Meta Ads,Awareness Video,Antwerp,1-9,Restaurant,36.0,1,0
195,2025-11-13 10:58,Meta Ads,Lead Magnet,East Flanders,10-49,Restaurant,27.0,0,0
196,2025-11-13 08:30,Meta Ads,Summer Promo TEST,LIEGE,10-49,Snack,36.0,1,0
197,2025-11-13 15:49,Organic Search,SEO Product Pages,Walloon Brabant,1-9,Snack,67.0,1,1
198,2025-11-13 12:34,Organic Search,SEO Product Pages,Namur,10-49,Bar,37.0,0,0
199,2025-11-13 13:06,Organic Search,SEO Guides,Brussels,1-9,Snack,42.0,0,0
200,2025-11-13 07:19,Direct,Brand Direct,East Flanders,10-49,Restaurant,66.0,1,1
201,2025-11-13 16:33,Direct,Returning Visitors,Namur,10-49,Snack,70.0,1,1
202,2025-11-13 17:15,Email,Newsletter,Liège,10-49,Snack,71.0,1,1
203,2025-11-13 12:52,Email,Newsletter,Antwerp,1-9,Restaurant,48.0,0,0
204,2025-11-13 16:40,Email,Newsletter,Brussels,50+,Bar,61.0,0,0
205,2025-11-13 20:31,Referral,Partner Network,Flemish Brabant,1-9,Snack,78.0,1,1
206,2025-11-14 17:23,Google Ads,High Intent Search,Flemish Brabant,10-49,Bar,71.0,0,0
207,2025-11-14 11:00,LinkedIn Ads,Decision Makers,Brussels,10-49,Restaurant,78.0,1,1
208,2025-11-14 10:14,LinkedIn Ads,Decision Makers,Antwerp,50+,Hotel,81.0,0,0
209,2025-11-14 13:01,Meta Ads,Awareness Video,Flemish Brabant,10-49,Bar,34.0,0,0
210,2025-11-14 17:27,Meta Ads,Awareness Video,Flemish Brabant,1-9,Restaurant,18.0,0,0
211,2025-11-14 17:04,Meta Ads,Awareness Video,Antwerp,1-9,Snack,34.0,0,0
212,2025-11-14 20:49,Meta Ads,Awareness Video,Walloon Brabant,1-9,Bar,18.0,0,0
213,2025-11-14 18:26,Meta Ads,Awareness Video,East Flanders,1-9,Café,42.0,1,0
214,2025-11-14 19:13,Meta Ads,Awareness Video,Liège,10-49,Café,28.0,0,0
215,2025-11-14 15:45,Meta Ads,Awareness Video,Liège,1-9,Café,13.0,0,0
216,2025-11-14 21:39,Meta Ads,Awareness Video,Namur,1-9,Café,30.0,0,0
217,2025-11-14 20:03,Meta Ads,Lead Magnet,Brussels,1-9,Restaurant,54.0,1,0
218,2025-11-14 17:40,Organic Search,SEO Product Pages,Antwerp,10-49,Snack,66.0,1,1
219,2025-11-14 08:19,Organic Search,SEO Product Pages,Namur,50+,Restaurant,75.0,1,0
220,2025-11-14 13:27,Organic Search,SEO Guides,Antwerp,10-49,Café,41.0,1,0
221,2025-11-14 07:38,Organic Search,SEO Guides,Flemish Brabant,1-9,Hotel,29.0,0,0
222,2025-11-14 17:29,Organic Search,SEO Guides,Liège,10-49,Restaurant,67.0,1,0
223,2025-11-14 15:38,Organic Search,SEO Guides,East Flanders,10-49,Snack,36.0,0,0
224,2025-11-14 11:34,Organic Search,SEO Guides,Antwerp,1-9,Restaurant,53.0,1,1
225,2025-11-14 15:26,Organic Search,SEO Guides,Flemish Brabant,10-49,Bar,54.0,0,0
226,2025-11-14 18:05,Direct,Returning Visitors,Brussels,10-49,Restaurant,55.0,0,0
227,2025-11-14 19:43,Direct,Returning Visitors,Brussels,1-9,Bar,52.0,0,0
228,2025-11-14 18:32,Direct,Returning Visitors,Brussels,1-9,Snack,36.0,1,0
229,2025-11-14 10:06,Email,Newsletter,Hainaut,10-49,Restaurant,44.0,0,0
230,2025-11-14 19:06,Email,Newsletter,Flemish Brabant,1-9,Restaurant,62.0,1,1
231,2025-11-14 13:55,Email,Newsletter,Flemish Brabant,1-9,Restaurant,58.0,0,0
232,2025-11-14 17:47,Email,Newsletter,Brussels,1-9,Restaurant,76.0,1,1
233,2025-11-14 12:40,Referral,Partner Network,Walloon Brabant,10-49,Hotel,64.0,0,0
234,2025-11-15 20:08,Google Ads,Competitor Search,East Flanders,10-49,Bar,41.0,1,0
235,2025-11-15 17:13,LinkedIn Ads,Decision Makers,Flemish Brabant,1-9,Restaurant,69.0,1,1
236,2025-11-15 11:38,LinkedIn Ads,Decision Makers,Antwerp,50+,Bar,77.0,0,0
237,2025-11-15 13:45,Meta Ads,Awareness Video,Hainaut,10-49,Bar,15.0,0,0
238,2025-11-15 17:58,Meta Ads,Awareness Video,Brussels,1-9,Restaurant,5.0,0,0
239,2025-11-15 12:27,Meta Ads,Lead Magnet,Walloon Brabant,1-9,Restaurant,34.0,0,0
240,2025-11-15 19:24,Meta Ads,Lead Magnet,Flemish Brabant,10-49,Snack,21.0,0,0
241,2025-11-15 18:25,Organic Search,SEO Product Pages,Brussels,10-49,Restaurant,58.0,0,0
242,2025-11-15 14:17,Organic Search,SEO Product Pages,Liège,10-49,Restaurant,59.0,1,1
243,2025-11-15 11:41,Organic Search,SEO Guides,Flemish Brabant,10-49,Restaurant,24.0,0,0
244,2025-11-15 15:34,Organic Search,SEO Guides,Brussels,10-49,Bar,54.0,0,0
245,2025-11-15 13:12,Organic Search,SEO Guides,Brussels,1-9,Hotel,64.0,1,1
246,2025-11-15 13:47,Direct,Brand Direct,Flemish Brabant,10-49,Restaurant,41.0,1,0
247,2025-11-15 19:26,Direct,Brand Direct,Brussels,1-9,Café,50.0,0,0
248,2025-11-15 13:29,Direct,Returning Visitors,Brussels,1-9,Restaurant,53.0,1,1
249,2025-11-15 18:27,Email,Newsletter,Liège,1-9,Hotel,61.0,1,1
250,2025-11-15 09:16,Referral,Partner Network,Antwerp,10-49,Restaurant,77.0,1,1
251,2025-11-16 07:18,Google Ads,High Intent Search,East Flanders,1-9,Bar,50.0,0,0
252,2025-11-16 12:25,Google Ads,Competitor Search,Brussels,10-49,Restaurant,22.0,0,0
253,2025-11-16 12:44,LinkedIn Ads,Decision Makers,Antwerp,10-49,Snack,77.0,1,1
254,2025-11-16 10:46,Meta Ads,Awareness Video,Liège,10-49,Café,27.0,0,0
255,2025-11-16 20:35,Meta Ads,Awareness Video,Walloon Brabant,10-49,Café,40.0,0,0
256,2025-11-16 11:32,Meta Ads,Awareness Video,East Flanders,1-9,Restaurant,43.0,0,0
257,2025-11-16 17:33,Meta Ads,Awareness Video,Namur,10-49,Restaurant,23.0,0,0
258,2025-11-16 16:03,Meta Ads,Awareness Video,Flemish Brabant,1-9,Bar,16.0,0,0
259,2025-11-16 11:01,Meta Ads,Awareness Video,Antwerp,10-49,Bar,44.0,1,0
260,2025-11-16 13:44,Direct,Returning Visitors,East Flanders,1-9,Restaurant,55.0,1,1
261,2025-11-16 13:26,Direct,Returning Visitors,Walloon Brabant,10-49,Bar,70.0,1,1
262,2025-11-16 11:16,Referral,Partner Network,Namur,10-49,Restaurant,999.0,1,0
263,2025-11-17 18:24,Google Ads,Competitor Search,Brussels,1-9,Restaurant,27.0,1,0
264,2025-11-17 15:09,Google Ads,Competitor Search,Liège,1-9,Restaurant,38.0,0,0
265,2025-11-17 13:09,Google Ads,Competitor Search,Hainaut,1-9,Restaurant,24.0,0,0
266,2025-11-17 16:55,Meta Ads,Awareness Video,Brussels,1-9,Café,1.0,0,0
267,2025-11-17 14:13,Meta Ads,Awareness Video,Antwerp,1-9,Café,12.0,0,0
268,2025-11-17 15:40,Meta Ads,Awareness Video,East Flanders,10-49,Bar,31.0,1,0
269,2025-11-17 13:06,Meta Ads,Awareness Video,Walloon Brabant,1-9,Bar,47.0,0,0
270,2025-11-17 16:21,Meta Ads,Awareness Video,Antwerp,1-9,Restaurant,39.0,0,0
271,2025-11-17 13:54,Organic Search,SEO Product Pages,Liège,10-49,Snack,63.0,0,0
272,2025-11-17 12:51,Organic Search,SEO Guides,Hainaut,50+,Café,83.0,1,1
273,2025-11-17 08:40,Organic Search,SEO Guides,Brussels,1-9,Bar,41.0,0,0
274,2025-11-17 12:11,Organic Search,SEO Guides,Liège,10-49,Bar,59.0,0,0
275,2025-11-17 20:37,Organic Search,SEO Guides,East Flanders,50+,Restaurant,64.0,0,1
276,2025-11-17 18:44,Direct,Brand Direct,Namur,1-9,Restaurant,69.0,1,1
277,2025-11-17 12:53,Direct,Brand Direct,East Flanders,1 - 9,Snack,77.0,0,0
278,2025-11-17 14:09,Direct,Returning Visitors,Hainaut,1-9,Restaurant,66.0,1,1
279,2025-11-17 14:23,Direct,Returning Visitors,Hainaut,10-49,Snack,57.0,0,0
280,2025-11-17 13:28,Email,Newsletter,Hainaut,10-49,Bar,56.0,1,0
281,2025-11-17 21:05,Email,Newsletter,Liège,1-9,Restaurant,64.0,0,0
282,2025-11-17 12:00,Referral,Partner Network,Flemish Brabant,1-9,Café,55.0,1,0
283,2025-11-17 20:41,Referral,Partner Network,Walloon Brabant,1-9,Restaurant,85.0,1,1
284,2025-11-17 12:25,Referral,Customer Referral,Hainaut,1-9,Snack,96.0,1,1
