customer_id,opportunity_id,start_date,plan,starting_mrr
62,190,2026-02-09,Starter,38.44
63,191,2026-01-01,Starter,44.73
64,193,2026-01-04,Pro,103.95
65,198,2026-02-27,Group,826.85
66,200,2026-01-11,Starter,48.99
67,201,2026-01-23,Group,1536.69
68,203,2026-01-04,Starter,45.43
69,205,2026-04-06,Group,950.73
70,206,2026-01-16,Starter,49.31
71,208,2026-01-13,Starter,49.7
72,213,2026-01-07,Starter,46.6
73,216,2026-01-20,Starter,41.73
74,221,2026-01-11,Pro,119.07
75,222,2026-01-23,Pro,123.23
76,225,2026-01-22,Starter,41.2
77,229,2026-01-13,Starter,48.23
78,235,2026-01-27,Starter,43.26
79,239,2026-02-03,Starter,49.55
80,241,2026-02-01,Starter,41.68
81,248,2026-01-25,Starter,45.5
82,250,2026-01-28,Group,729.59
83,253,2026-01-28,Starter,43.35
84,256,2026-02-13,Starter,44.57
85,257,2026-02-01,Pro,121.55
86,259,2026-02-20,Starter,42.33
87,262,2026-02-04,Pro,111.12
88,263,2026-01-30,Starter,49.43
89,265,2026-02-15,Group,726.91
90,266,2026-03-11,Group,840.24
91,269,2026-01-26,Pro,118.27
92,271,2026-02-20,Pro,117.59
93,272,2026-02-14,Pro,106.51
94,274,2026-02-11,Pro,118.24
95,278,2026-02-02,Starter,41.41
96,284,2026-02-19,Pro,120.94
97,285,2026-02-27,Pro,103.72
98,286,2026-02-07,Pro,111.5
99,292,2026-02-10,Starter,49.85
100,293,2026-02-03,Starter,38.56
101,297,2026-03-28,Pro,117.41
102,302,2026-02-12,Pro,112.8
103,303,2026-02-24,Pro,118.23
104,304,2026-02-10,Starter,53.66
105,305,2026-02-24,Starter,45.74
106,318,2026-02-13,Pro,112.11
107,321,2026-02-06,Starter,45.68
108,323,2026-02-07,Starter,44.1
109,327,2026-02-06,Starter,46.41
110,333,2026-03-15,Group,583.46
111,334,2026-02-07,Pro,125.43
112,338,2026-02-12,Starter,42.48
113,343,2026-03-03,Pro,128.27
114,345,2026-03-06,Pro,101.87
115,347,2026-02-24,Pro,114.12
116,351,2026-02-13,Pro,104.45
117,352,2026-02-20,Pro,93.76
118,353,2026-02-23,Pro,96.01
119,355,2026-02-18,Pro,103.96
120,357,2026-02-17,Starter,43.72
121,358,2026-02-19,Starter,44.0
122,359,2026-02-14,Starter,37.85
123,360,2026-02-25,Pro,117.84
124,361,2026-02-11,Starter,40.04
125,363,2026-02-24,Starter,46.15
126,369,2026-02-26,Pro,130.06
127,370,2026-02-21,Pro,122.42
128,372,2026-03-30,Pro,114.15
129,373,2026-02-20,Starter,48.15
130,374,2026-02-21,Pro,106.8
131,376,2026-04-04,Pro,121.44
132,382,2026-02-17,Starter,40.26
133,383,2026-03-10,Starter,42.9
134,388,2026-02-11,Starter,44.88
135,397,2026-03-04,Group,588.69
136,398,2026-03-18,Pro,121.87
137,401,2026-03-08,Pro,114.2
138,404,2026-02-26,Pro,108.45
139,405,2026-02-23,Group,1171.31
140,406,2026-03-12,Pro,113.08
141,407,2026-03-13,Group,588.9
142,410,2026-03-01,Starter,51.98
143,411,2026-02-20,Starter,43.7
144,417,2026-02-21,Starter,45.88
145,421,2026-02-22,Starter,44.57
146,425,2026-02-27,Starter,48.52
147,426,2026-04-02,Group,1134.18
148,427,2026-02-28,Starter,47.12
149,428,2026-02-20,Starter,43.56
150,433,2026-02-24,Starter,51.32
151,439,2026-02-27,Starter,44.62
152,442,2026-03-18,Starter,42.44
153,443,2026-03-01,Pro,128.22
154,445,2026-04-18,Pro,104.78
155,453,2026-02-25,Starter,45.06
156,454,2026-02-27,Starter,42.52
157,456,2026-03-07,Starter,46.04
158,458,2026-03-18,Starter,44.3
159,460,2026-03-11,Pro,117.9
160,465,2026-03-07,Pro,110.66
161,469,2026-04-26,Pro,114.59
162,470,2026-03-10,Starter,50.66
163,471,2026-03-09,Pro,109.79
164,479,2026-04-06,Starter,50.66
165,480,2026-03-25,Pro,102.16
166,481,2026-03-19,Pro,109.52
167,485,2026-04-06,Starter,53.92
168,496,2026-03-11,Starter,47.63
169,500,2026-03-04,Pro,105.92
170,508,2026-03-24,Pro,112.69
171,517,2026-03-19,Starter,41.19
172,518,2026-03-26,Group,1012.97
173,528,2026-04-02,Starter,43.35
174,539,2026-03-24,Starter,49.16
175,541,2026-05-22,Group,1468.27
176,544,2026-04-09,Pro,96.98
177,547,2026-04-05,Starter,51.38
178,552,2026-04-06,Starter,39.95
179,561,2026-03-24,Pro,107.09
180,563,2026-04-07,Starter,45.13
181,566,2026-03-26,Starter,52.17
182,568,2026-03-29,Starter,45.71
183,575,2026-04-05,Group,1317.75
184,576,2026-04-06,Starter,44.17
185,585,2026-04-02,Starter,45.92
186,586,2026-04-02,Pro,107.7
187,592,2026-04-06,Starter,41.76
188,596,2026-04-08,Starter,48.51
189,597,2026-04-10,Group,1022.84
190,606,2026-04-29,Pro,99.04
191,607,2026-05-20,Group,902.98
192,608,2026-04-04,Pro,113.57
193,616,2026-04-04,Pro,109.39
194,619,2026-04-19,Starter,46.51
195,625,2026-04-17,Starter,49.44
196,627,2026-04-22,Starter,48.99
197,629,2026-05-03,Pro,108.58
198,631,2026-04-06,Starter,51.07
199,633,2026-04-15,Starter,44.48
200,634,2026-04-18,Starter,44.75
201,635,2026-04-06,Pro,118.05
202,636,2026-04-27,Starter,47.31
203,637,2026-04-05,Pro,109.05
204,642,2026-04-07,Pro,99.25
205,644,2026-04-01,Starter,46.3
206,646,2026-04-27,Pro,109.77
207,647,2026-05-26,Pro,111.9
208,650,2026-05-01,Pro,116.69
209,652,2026-04-14,Starter,43.99
210,656,2026-04-19,Starter,46.18
211,661,2026-04-13,Pro,108.95
212,662,2026-04-09,Starter,45.25
213,667,2026-04-28,Pro,94.63
214,668,2026-05-10,Starter,43.02
215,671,2026-05-03,Starter,43.34
216,676,2026-04-10,Pro,103.04
217,679,2026-04-23,Starter,48.26
218,684,2026-04-18,Pro,116.97
219,687,2026-05-03,Starter,51.35
220,691,2026-04-24,Starter,45.18
221,694,2026-05-11,Starter,46.42
222,695,2026-04-28,Starter,51.67
223,697,2026-04-17,Starter,49.34
224,700,2026-04-19,Starter,42.98
225,701,2026-05-03,Group,1425.64
226,702,2026-04-24,Starter,46.77
227,708,2026-05-03,Starter,45.27
228,709,2026-04-27,Pro,113.39
229,710,2026-04-24,Starter,46.08
230,715,2026-04-23,Starter,48.87
231,719,2026-06-23,Group,1193.53
232,725,2026-05-02,Pro,116.8
233,726,2026-04-26,Starter,50.3
234,730,2026-05-26,Pro,110.89
235,732,2026-04-27,Pro,120.83
236,733,2026-05-15,Pro,108.87
237,736,2026-04-24,Pro,107.96
238,742,2026-05-31,Starter,41.28
239,743,2026-05-21,Pro,123.27
240,745,2026-05-04,Starter,43.12
241,753,2026-04-28,Starter,42.65
242,755,2026-04-30,Starter,50.92
243,758,2026-05-18,Pro,120.61
244,759,2026-05-05,Pro,110.35
245,763,2026-05-23,Starter,46.28
246,765,2026-05-09,Starter,47.99
247,766,2026-05-08,Starter,48.17
248,767,2026-05-11,Starter,49.3
249,768,2026-04-30,Starter,45.83
250,772,2026-05-06,Pro,110.86
251,774,2026-05-07,Starter,49.32
252,775,2026-05-01,Starter,42.57
253,778,2026-05-02,Starter,42.67
254,780,2026-05-03,Starter,48.64
255,788,2026-05-22,Pro,108.59
256,793,2026-05-17,Pro,123.15
257,795,2026-05-04,Pro,126.54
258,796,2026-05-16,Pro,123.65
259,797,2026-05-06,Starter,43.95
260,804,2026-06-30,Group,781.24
261,808,2026-06-01,Group,1092.68
262,812,2026-06-07,Pro,110.67
263,813,2026-05-09,Starter,40.82
264,815,2026-05-18,Pro,110.08
265,817,2026-05-26,Starter,45.31
266,820,2026-06-11,Group,835.16
267,822,2026-05-12,Group,570.43
268,824,2026-05-19,Starter,38.79
269,830,2026-06-14,Group,1184.01
270,833,2026-05-23,Starter,44.11
271,835,2026-05-19,Starter,51.63
272,838,2026-06-05,Starter,43.11
273,839,2026-05-28,Pro,124.31
274,847,2026-06-04,Pro,130.22
275,850,2026-05-22,Group,864.21
276,852,2026-06-15,Group,1228.4
277,859,2026-05-31,Starter,44.13
278,862,2026-06-04,Starter,47.67
279,870,2026-05-17,Pro,93.97
280,873,2026-06-11,Pro,104.64
281,874,2026-05-24,Starter,44.75
282,878,2026-05-29,Pro,106.65
283,879,2026-06-14,Pro,98.86
284,882,2026-05-25,Pro,112.74
285,886,2026-06-09,Pro,111.92
286,888,2026-05-30,Starter,40.14
287,889,2026-06-10,Group,1413.83
288,891,2026-05-19,Pro,112.54
289,894,2026-05-30,Pro,112.58
290,898,2026-05-29,Pro,112.27
291,899,2026-05-28,Group,1371.13
292,902,2026-05-22,Pro,113.5
293,905,2026-05-28,Starter,43.49
294,907,2026-06-24,Group,500.86
295,908,2026-06-09,Pro,109.53
296,909,2026-06-09,Pro,101.25
297,912,2026-06-06,Pro,113.29
298,916,2026-05-27,Pro,110.45
299,919,2026-06-04,Pro,97.26
300,922,2026-06-15,Group,862.53
301,923,2026-06-01,Pro,116.88
302,924,2026-05-30,Starter,45.6
303,925,2026-06-09,Starter,44.8
304,926,2026-06-17,Starter,45.55
305,928,2026-06-12,Group,541.38
306,941,2026-06-19,Group,1099.14
307,943,2026-06-05,Pro,110.36
308,947,2026-06-06,Starter,45.5
309,949,2026-06-24,Starter,46.67
310,950,2026-06-18,Starter,42.55
311,957,2026-06-08,Pro,110.86
312,958,2026-06-15,Starter,50.36
313,961,2026-06-09,Starter,52.84
314,962,2026-05-27,Starter,49.62
315,964,2026-06-01,Starter,42.36
316,967,2026-06-05,Starter,44.41
317,971,2026-06-16,Group,943.44
318,977,2026-06-19,Pro,100.84
319,979,2026-06-09,Starter,48.01
320,985,2026-06-08,Starter,43.04
321,986,2026-06-04,Group,1502.79
322,993,2026-06-15,Pro,126.54
323,994,2026-06-11,Group,765.06
324,997,2026-06-05,Pro,112.21
325,1001,2026-06-18,Starter,48.62
326,1004,2026-06-13,Starter,43.27
327,1019,2026-06-29,Pro,112.87
328,1021,2026-06-22,Starter,43.05
329,1024,2026-06-15,Pro,107.52
330,1025,2026-06-16,Starter,44.51
331,1028,2026-06-20,Starter,45.16
332,1029,2026-06-29,Starter,48.98
333,1033,2026-06-11,Pro,116.43
334,1041,2026-06-19,Pro,116.84
335,1046,2026-06-30,Pro,125.09
336,1047,2026-06-22,Pro,101.7
337,1050,2026-06-16,Pro,103.37
338,1071,2026-06-29,Pro,105.37
339,1075,2026-06-29,Pro,113.42
340,1079,2026-06-24,Starter,44.66
341,1091,2026-06-18,Pro,100.45
342,1094,2026-06-25,Starter,52.96
343,1098,2026-06-21,Pro,120.59
344,1100,2026-06-28,Pro,131.33
345,1104,2026-06-29,Pro,98.38
346,1105,2026-06-30,Pro,127.58
347,1121,2026-06-26,Pro,118.83
348,1127,2026-06-25,Starter,50.77
349,1142,2026-06-28,Starter,45.59
350,1148,2026-06-29,Starter,45.19
281,874,2026-05-24,Starter,44.75
5,9,2025-11-17,Starter,51.75
309,949,2026-06-24,Starter,46.67
